81fdc249b649f771f9cce9e62d082d1a a239a2ac588cd28330c113555b7f9af1 || 0 1 1 || 0 1 1 ||
437ab7e610ff1124191b70402045ca69 176433c875a14a249125f944240120dd || 0 0 0 || 0 0 0 ||
43301cad9711fc6e8cc32b1db7875474 67dc3a828c8b21a12eb46f82cd1f1a7a || 0 1 1 || 0 1 1 ||
25aee212f7adee43b39a1bfd50533814 c380136344224b87ca39e0f4f452e5db || 0 0 1 || 0 0 1 ||
9c7404cf399055e303b9716e26ee7a85 c8fcf34a30e4c4bcf6dc5a1c3065e060 || 0 1 1 || 0 1 1 ||
3acde4d25aea6ec21875818cceafba96 da2878ba97d72398cbba9324b1cf5e45 || 0 0 1 || 0 0 1 ||
83915eed762cdaf68cd0024681346287 7ee66bd55e78706b3bbd3f03fef96e51 || 0 1 0 || 0 1 0 ||
e1faa1c4a175c8e41de6a2acfbcbcdc3 9d6df5d5bc87270db7f76190766b7afc || 0 0 0 || 0 0 0 ||
f73ae6316e41379c52c87590e87e0085 e5225bfbc98b29716f89a6d1f88f908b || 0 0 0 || 0 0 0 ||
e2344e12963daa5f7c8668ece8fd975a e8369025c44abd7d3d845ccf640958a8 || 0 1 1 || 0 1 1 ||
f4525dff3fde39a9ec209584fc80640d c8879426f57f282459acbdab45205685 || 0 0 0 || 0 0 0 ||
fe9f206a728132a3021cd721c57102e0 baa3bbac9a5f2371047d45c784578007 || 0 0 0 || 0 0 0 ||
fec431a06f5a5b5691f71b047a8f23aa a0f4108dd62d0375ec073f8bedba6126 || 0 0 0 || 0 0 0 ||
9b080f9ce941ceefeb78db8589ddb011 59630b37b4ee65a59c6aeb25e7d9e4b1 || 0 1 0 || 0 1 0 ||
26401aaeaea3365500bb7f5d19abb3e2 bcf9a8597bf901edd88878dc1e74dda2 || 0 0 1 || 0 0 1 ||
b3b28f3e5b9b4ecbdbc0d475df71d9a9 e0e84ad22ee493bdfd14f68f938469c5 || 0 1 1 || 0 1 1 ||
17c79c918e46c678d4df40e00781e49a 08eb66efd26ca884c2c45875477460c5 || 0 0 0 || 0 0 0 ||
b11109353d7305d4b5c79aa552efe78a 15b7aa689c5498d68894d486beb69989 || 0 1 0 || 0 1 0 ||
8b15aba310d960427c514d80048a9af3 8eb860715c72a75105dee18ddb5da150 || 0 1 1 || 0 1 1 ||
eb8d3a1a4133c7c9c54b4fd61ce4e3f1 820145972f67b4488dcf17b63c8cbce7 || 0 0 0 || 0 0 0 ||
e9bf18ff4a6c8660b2c29e6adef7b3ff 792da92b89c85229ac2910de7f8c1ada || 0 1 0 || 0 1 0 ||
5455dc301ae624a9f876eb35a37bc83f b203dce8f25f1b1a9c0fd7879d4431c8 || 0 0 1 || 0 0 1 ||
0c54134d58fd9c8abd914c15f9c70f3c c8e382d41a035847f8f5c1cbdfa801b9 || 0 0 1 || 0 0 1 ||
738d70f48d64cc487c4fdc08ffc42c9a 7b053dc66c724ab0efc58019358b69f2 || 0 1 1 || 0 1 1 ||
e5dee2e9e1d8b019c7eb9ef46e2dbd4f 32914346527b46ebaea122369475e921 || 0 1 0 || 0 1 0 ||
01f5eccc888235a81496abc9996301bb a170161c840bc73a4e0ccb2617a8d12a || 0 0 1 || 0 0 1 ||
b672b6bb55a9d69191efd0f133fd2829 c46290a744c9f7e6a8d8fca0ea1d7dea || 0 1 1 || 0 1 1 ||
0c2c0d6e463d2f19faa902b83fd31324 6b12b50e5387e141f5f655cc4a1c71f4 || 0 1 1 || 0 1 1 ||
d28dbcb9168305b97956a063a17eddd0 7842a2ad6d2dcc59bfe284d2adc73af5 || 0 1 0 || 0 1 0 ||
bd186944e2a1bcfe03977995157eaa23 a8a6dd557c13ef9d3ce5cbc433be2673 || 0 0 0 || 0 0 0 ||
19f0f6699934273f946c1aebe3f9fce1 a93c8ad7a711d7e95755e1f20544715d || 0 0 1 || 0 0 1 ||
651db79fff185a73df54aee50d6ed1a9 e3c2d710ba6ca7b220be3c9f1a1ca36b || 0 0 1 || 0 0 1 ||
419136519ef92536bcb8aadb7127f863 35031fafb3aaacb0a5d4a1927e5c7490 || 0 0 0 || 0 0 0 ||
bbd1880471a767dbd00c6bf20d9e6b9a 110a65d5d548e3e6d791a91d26e05167 || 0 1 0 || 0 1 0 ||
fe08df72925450fd2cfcf82ee9d07727 ab48c68499c60a1c40c7e08200f22652 || 0 0 0 || 0 0 0 ||
683ce876c1e885b25119d0d52dd0cc1a 4ed084dc654f9311ab68647c77f24254 || 0 0 0 || 0 0 0 ||
89464694e462e1df7ae60207cb004902 0aeb257c013c3f610541d93791724c24 || 0 1 0 || 0 1 0 ||
e27e2c07abfdaeaeab89a3595b5e2460 dbd0db9f8cf12425a4bc904051bcb07d || 0 0 0 || 0 0 0 ||
ec09e5ce715889876451a16e76a719b4 44b86f8d1312b0d374b0d7bcda5f3f5c || 0 1 0 || 0 1 0 ||
25e21a6837066d53256ee23d5c29f730 a4f82a909f90c205c2090a22c0efb2d2 || 0 0 1 || 0 0 1 ||
9ffd5bdd9339a4fa8da207277855b56c 0f2a63a9efb168eddae3219f02d9b546 || 0 1 0 || 0 1 0 ||
77917aed4b2bc3fbc7dfa31610d1fb46 7a492df165391866b3707f38507ff72e || 0 1 1 || 0 1 1 ||
7ef175de30e1a9e176a1b7aa0a785616 0a3f3502ea507526b97a11f0686b8c40 || 0 0 0 || 0 0 0 ||
99e194ea18afafa98572aea0d91c3868 6912f83eef04d7aedb343ec13e631d24 || 0 1 0 || 0 1 0 ||
6212b819996ba7b693bb6082da5c6763 b073a528a9700ea533ada72e116f4c97 || 0 0 1 || 0 0 1 ||
22b17ba40428a81a83f20c8221030fd1 10e9ecdc42202ee93689e4ab4e32c218 || 0 0 0 || 0 0 0 ||
49e47d5ef9135e04c263f0b526b62d30 8057cc985c26c959479fa69779c27661 || 0 0 1 || 0 0 1 ||
a06e8690ac727bf1e6b524c3a592e06c 9f8d587601df71859d68ffdad8eae80c || 0 0 0 || 0 0 0 ||
e29599cb444e4205bfc56ffd00063889 40e32cad3107cc3e71e26e60871b71a1 || 0 1 0 || 0 1 0 ||
b7e23e3fc75f44ed7299b8b82c224b19 0fa14232f5e097ba27b5f9c6e3b51f3f || 0 1 0 || 0 1 0 ||
a13d143001de18f1f8656f90004921ed b02a5178034033352b50cda77ad6ad21 || 0 1 1 || 0 1 1 ||
2b2e02c6cbf4bc0b9c84adea110aa5d4 5166eb40b2356861ca11158dabe09d0f || 0 1 1 || 0 1 1 ||
22bbda56ba2bff8a90483a6291ac7fe6 e5a537a8a0245829821e9191efab5919 || 0 0 1 || 0 0 1 ||
35e779d1567db6b71358a36ca53974eb 99ac65dfe41cfb510f68d33590fc6a9d || 0 0 1 || 0 0 1 ||
8b642d966487646a5a43a5d289f20f34 19771c1da434dfb6870e25afb429c8aa || 0 1 0 || 0 1 0 ||
acd9a4233626ce2803cab5ac2523ae11 2584bc72130e0acaee76e493949c24ae || 0 1 0 || 0 1 0 ||
4d22bda72e00dd0ed62383b25792e492 b420f5dda023d43d76c89666d3abd32b || 0 0 1 || 0 0 1 ||
239e75b756a8ca69c26fb0327dc1f974 984961089bc2668d9e701592a9f812c0 || 0 0 1 || 0 0 1 ||
320387ff1ee953d3d7bfdd8db2498ba0 d4d21b2d3be49f50a2375cc6efe14bda || 0 0 1 || 0 0 1 ||
cff12b40a8dc52e19fc9496d4a0eb10a 08b1cc1a9669cec0891702b7e111d70f || 0 1 0 || 0 1 0 ||
55d945d3912e8b8efa2f19da8bf1defc 653a0ed79896f84008819efad6d2d23c || 0 1 1 || 0 1 1 ||
b185b321344cac24da0ca849e5a48476 9f4a422f7fd6c920e6da939d819f335f || 0 0 0 || 0 0 0 ||
927f98bf49d51e8b2f82124781db9c29 f2159fe965e715ab3c38a3082e3b52ea || 0 1 1 || 0 1 1 ||
b86c94b3bc52604fff53b903fd37a54f 560ab84eff3b466206e07fb3313026da || 0 1 0 || 0 1 0 ||
78d93788c04d15a6140f4a13328fe7ce 575b0de7a7e2beddc8367f68bc7795fa || 0 0 0 || 0 0 0 ||
e7f928468681c13a65c98462c7b4cfc4 2506797d7e906384761d0c074c120a6c || 0 1 0 || 0 1 0 ||
d496146bdd406565f3dbc79f7df092f7 f6179dd2c9c1bfdb9754816d5f358668 || 0 1 1 || 0 1 1 ||
ed96d346a797b0ba4bd9254ed270d8d8 7b91dc77f438acf31f87bca2a4ec7b56 || 0 1 0 || 0 1 0 ||
dc4e4953b8c49711d51a422d7535be7e dee112d3d4ea85e4c63b9e9fa7dd08ab || 0 1 1 || 0 1 1 ||
1fc92db0c939bfb175329dfe30546d68 b65846cb4f03370ac0fa99770a8167c2 || 0 0 1 || 0 0 1 ||
a779c144ce71a806596bd6c2c3b531d1 7963eec52b1ee36d9ed384cd7604ad94 || 0 1 0 || 0 1 0 ||
49351afeb126f74191ab7ce44a87316f c6821ffce5cfabd4c5fbce11742208a9 || 0 0 1 || 0 0 1 ||
9c560fddeee20850ea3adeb21c105ce3 12fd93833855a7787f370936b5b94e83 || 0 1 0 || 0 1 0 ||
aa73954cc149eb481c18525e1cab1507 81606c9323f67e2d07986d7d858a3bf8 || 0 0 0 || 0 0 0 ||
389d086f2a6e83f1c0fe085828140cc6 5ecfb36e3d74bddd5ae3ed40dcb5a346 || 0 1 1 || 0 1 1 ||
a059a7dbca5e6762c95f4a11c3cc6010 e118713e7c0c06720fbd3284de3c2006 || 0 1 1 || 0 1 1 ||
b029208a967bfba3b4c94dd69be5e011 114d64bd2b582e17f6cbb8f2424e8903 || 0 1 0 || 0 1 0 ||
99d58c1b5df8b433252b6cfa16bf29a4 70ff7612d51204379e46cf40981e7b38 || 0 1 0 || 0 1 0 ||
2170a70b0aaed4da497d099ada6c1eb2 31e1ecae23e633c5688c3f46fbd5e3f2 || 0 1 1 || 0 1 1 ||
1643335149767380044aec2282d2324d cd84c209fd3d8a6233a336f88366a488 || 0 0 1 || 0 0 1 ||
5804b3b7697daaad2f6fc3590fa87711 1aef56e1bb535cc711d4fee02ab9acf2 || 0 0 0 || 0 0 0 ||
fab1913acccb105eb924806318516b6d 95f864d4bc10054534058634e3eb2551 || 0 0 0 || 0 0 0 ||
161ddce46971ea0eab947542dee8fba4 52b915848c636cc5e2508a6321f0412b || 0 1 1 || 0 1 1 ||
6e8896d058710bbc4e0f0ea060a2e93d c2d0cf845275dfecf312e22f2441e47c || 0 0 1 || 0 0 1 ||
6cc1fa3fd479f52983bc48b2a8fb6b65 33a0de4cfa90c493540ccd008856ec73 || 0 0 0 || 0 0 0 ||
7f66c3bb5d79ed0e1b5e61da50958101 488e197bd4f1f2a64c66ba1d400abf16 || 0 0 0 || 0 0 0 ||
1c378bfaa62f9ef7fdd9813258084089 757b4b8d3de93864f84797a0f9dd35cb || 0 1 1 || 0 1 1 ||
3a1f3b887d0aa3c104ac527d80381aa4 4b1886783c0b53bb98f88bec6c48345b || 0 1 1 || 0 1 1 ||
7e31a80209a76e7b930ea8f10434e706 6552e7fdc7da730fd1818519b8a98563 || 0 0 0 || 0 0 0 ||
626bc15a3eb62497d67d9657e0645eab a039902e419adaf78bd1e790e3b75b01 || 0 0 1 || 0 0 1 ||
4911f1e68d39920f560ed50c7937afb3 dbf076f67d815aec1bb165188b8b4f8d || 0 0 1 || 0 0 1 ||
28bab0aa94b3cebb80dcf11ebbd231a8 d4e726c8bcd03950d752e452531785a6 || 0 0 1 || 0 0 1 ||
fe270e89c2d47177ed2e0b9ec49af698 f0e30009f2165e9178a0acecc33d6f4c || 0 0 0 || 0 0 0 ||
1d7fe71b61ad28cb3d226986fb82f5f2 942335c3752ce021e953681417cb8126 || 0 0 1 || 0 0 1 ||
9c9434201c4e5fc80b6fdd9a61920155 0462ba9674473835349a3d4407b609de || 0 1 0 || 0 1 0 ||
99c68706c6d6f9186951618cda89a1e3 f3b59293a2335d6fede67416e0e233aa || 0 1 1 || 0 1 1 ||
5da0e748e2fa8d7479e8b1a4a5347265 e8cd3e330be8dc934cc0421c70235d01 || 0 0 1 || 0 0 1 ||
d0311b548615656e8a5559954648f45c 814f44b330ef87e318d303ebd5281c49 || 0 0 0 || 0 0 0 ||
5dfd5e86a4a71a92124e0b1dbeef09d8 a81d34e6ffd959ed844632251744c66c || 0 0 1 || 0 0 1 ||
1a7a0e93b555658d0ef36aff7dd2b6e7 58506a9caa27fd296c19c3a9dfad8d05 || 0 1 1 || 0 1 1 ||
860308e023769d32e604043780df3d55 8ac2162e69057de131e1370e7cb04b35 || 0 1 1 || 0 1 1 ||
0c504b32ad0b76b1fe3da2f9f8910c50 0ae5a10ad47baabf344156e8bb82c09b || 0 0 0 || 0 0 0 ||
f2b820ac68cbb840da5e71a6b4839cb7 6180265a4507f7b3c3fb5467d5c798f6 || 0 1 0 || 0 1 0 ||
137ac61c4b6a71a0225f620bcb55e097 19017dad14c500e69dc9a94b32b85030 || 0 1 1 || 0 1 1 ||
da9a90988cebbaf6ae745a8c0e84b693 760596cfdc553978ed983b1f56796902 || 0 1 0 || 0 1 0 ||
a499d388a2cb405fcc74daa56f47adf1 493bff162eda4be97e48280ea6350419 || 0 1 0 || 0 1 0 ||
2e1da8af9ad38f5daaf130dbe5a0a4d5 d6ef40e666c7d29aaa4c0adf7d2ced2e || 0 0 1 || 0 0 1 ||
3ac3d55e150bfae8dcf324e64485cb30 f71f3730aeacc5c1523d56e2494e505f || 0 0 1 || 0 0 1 ||
90821102d9ede0324e5283fbd9db5477 a50bcf3ae29c40d72d4096a6d772ae4f || 0 1 1 || 0 1 1 ||
23dd98deceb20984586e69a604ba6434 29a2765addce1e3fe97a4f469ac3a870 || 0 1 1 || 0 1 1 ||
3ca2a087912f4426343359cb5d7e4c21 55d920f06f8f66d7284c5092bf50a89c || 0 1 1 || 0 1 1 ||
90c3b7615525f3d0d6364a1851f360d6 866ed61aba495e70f43f7dc18200df0a || 0 0 0 || 0 0 0 ||
282b0c42fe05361a02203ec36f757557 7060eee3e2fc30bed5d35a057284c9d7 || 0 1 1 || 0 1 1 ||
ee8b77579795976d46169c967e527393 1320548ad0567ed256b8256cca363511 || 0 1 0 || 0 1 0 ||
db8995790216511e9317eac686fba583 a2ba502c6d5dd2b7da6f13e953dfb700 || 0 0 0 || 0 0 0 ||
14f69dbf7bcb4f6714ca61370097a69b 472b6ec05f567a9c5a5e912fb0b30ba9 || 0 1 1 || 0 1 1 ||
2066cf309549054aea0256c7db5e042c 751e307d4894e4f54a0ac6aa14da7259 || 0 1 1 || 0 1 1 ||
5fef89ea6d399bf5cb576b7cf1250e86 9a1352469b8f5acc11dc427dbb6fc5d6 || 0 0 1 || 0 0 1 ||
e7dfe3ebec682b03567946c82a15e5ff 5f391cb1e83397c15101caa3637e1ddc || 0 1 0 || 0 1 0 ||
1c8168dd71263a200b4f62f464a3e7c0 8af393b8d3afb9d5533538132e4d8034 || 0 0 1 || 0 0 1 ||
88960e6c531d6e362a9d45af22ef00a2 5872ff99fa335027a4431aa465a62883 || 0 1 0 || 0 1 0 ||
0290d19b1928a757255bb167fcdb680f 1ea7e7edad4fcbd416fa3a58f42746a9 || 0 1 1 || 0 1 1 ||
582174706f1954458984825eeb96c544 9c337a063cf35f1cad855ed16bc7c1e6 || 0 0 1 || 0 0 1 ||
50546913263c37d01df531dece1a86e1 2f3fa396d059ee62bf5ae8b95ac7ed63 || 0 0 0 || 0 0 0 ||
cfe3dffe5c4ff4a55bf30fd615a800c9 22b76c93fa3157c688c33140042a3d0a || 0 1 0 || 0 1 0 ||
ddf1bd647aa4b00aa9d4057d269265fb a97bc9baee4a7af3ff355a81939c132f || 0 0 0 || 0 0 0 ||
c693c0c1425a475afbbcbb966fe55bc9 f5598f053f92b7c125b860da511fb215 || 0 1 1 || 0 1 1 ||
9a63b1e19f13c2aa73d608a82ab85a76 7c9a3f30422393157fbd88f2878f5e4d || 0 1 0 || 0 1 0 ||
cece705dd59d17bee8c91dd44542ddad 4a6ee82f12a455a843d6459b4ce089b6 || 0 1 0 || 0 1 0 ||
4b3279b9b37b251e0c4881b2c6812c32 fe69ab684ddb29467f58f94713cf7676 || 0 0 1 || 0 0 1 ||
60591738c82445793d5d667e7e90c64d 08b61b089941dce9792e5488e210a36a || 0 0 0 || 0 0 0 ||
4cc2c4763c6b2c61fa363a4540cc2ab2 333be6fcaa5379dc61651b2b88633677 || 0 0 0 || 0 0 0 ||
c37204f5686aeb5b4cd75c10b6e0d69a c57b93473f8e9f8f1ca68e819cf819a1 || 0 1 1 || 0 1 1 ||
805730087d40a48cb94b8712f29e9de1 400070b0caf432028cac1185914722d4 || 0 1 0 || 0 1 0 ||
88ea4ea37a87ee79b598cde0cd76462d b82a0ac56db260af2c89130863a67cf0 || 0 1 1 || 0 1 1 ||
4e93310916dc0f1e9049e8157e5e8241 0c628895474b6eeadf9f68bca3b5cc0e || 0 0 0 || 0 0 0 ||
9c52b8c9040bf8742958b6fc0704cd97 8e0a44529d60c20127ae519c52d9269e || 0 0 0 || 0 0 0 ||
1638e57313efa19a47a34296d8d13a49 9a519fe1189d76f8cef2a88646de8417 || 0 0 1 || 0 0 1 ||
413d8987099f805a9fb02c10287c41f6 fd6d949cc0450bc13bc82dd2a11ae832 || 0 0 1 || 0 0 1 ||
7fae0c833497893388775bbc9ef73e69 908989fa93160dc95362beb4909c7bd0 || 0 0 1 || 0 0 1 ||
9e5345bbd2b39813846fe39c8b0420b6 acaa2c4f8f4d221f99d609f1bc7f4ce0 || 0 1 1 || 0 1 1 ||
03d781def0a08bcb9aaa11cb03bf8f89 3aad9702ee50f46fcb30296885bd5825 || 0 1 1 || 0 1 1 ||
4df8a5ecc7ca9e59e03f48b462de982c d67b1ac906a3a370a9b1abeb66020e52 || 0 0 1 || 0 0 1 ||
a2ae44793ddad6facc3b2a01f534ed4c d48fa64b2049d6c3953f97ce42e329fe || 0 1 1 || 0 1 1 ||
6baed66ecfa0dac4d68ad36e9f2bb0d8 f597eed017a2ba8adee81807bd1d31b8 || 0 0 1 || 0 0 1 ||
73d3389cabfaa807d5f28040fc071364 2a3e3000c860eb14194aceba6a56b964 || 0 0 0 || 0 0 0 ||
32ea03720710b9aabe97df333589fd39 48d25b4ab1390b700e6627dbad77a2f1 || 0 1 1 || 0 1 1 ||
e8614d4289deecb5cfecf069dec24ebc 007f2f91acc833b54eaf2b16c1033271 || 0 1 0 || 0 1 0 ||
d1df1c71a889ecc589a35c869d53142e 728857b66ee446cb80f285850cca2f5f || 0 1 0 || 0 1 0 ||
06a2f89732cdcde898bd0bee396e8a1e a6ce66447ca0984cb6d3d5804d16a80c || 0 0 1 || 0 0 1 ||
e8b1e55fffbb8f08684addd9081034ed 1f9800df28a39b7e38db157789ae92d9 || 0 1 0 || 0 1 0 ||
84d23e9bd8ee6643d9bf631b2c4b4b16 9edb68e450ba23c4d6fa96eafb949cfe || 0 1 1 || 0 1 1 ||
dea05c3a5bc15c5b92e5586be0d402bc 8b73e98d4caa7fe6920e9e0388dd9d05 || 0 0 0 || 0 0 0 ||
b91306cd825be813125b82ba9da64287 0f964041fe5252da449137c7f9c50fba || 0 1 0 || 0 1 0 ||
6172189b397299d73ba966f5389b90f4 b015a0d8e5f326cfd325f7b6057b2f16 || 0 0 1 || 0 0 1 ||
1c9e19dcede6e96b70f73c5dde26edf3 3c3ab61c58f992b342d8bd93acecffa9 || 0 1 1 || 0 1 1 ||
b1beeeb33427fa7515ad1808d3fa93cd 5e7e353574a4161a77216d78ce841447 || 0 1 0 || 0 1 0 ||
51cacd3eadb467a2640cd99b3c4bf63b 9fbaaae0d1df7f329c87647a7d1ca57f || 0 0 1 || 0 0 1 ||
b0f87fdc53e55d866933f6b80615f343 b247748ed9103e2e9552fcfcd9159a43 || 0 1 1 || 0 1 1 ||
02077d3f6f782e61a8fcf97caaded4d8 6a39a193ab0b514df66dbeeff583bd6d || 0 1 1 || 0 1 1 ||
86af0fb75ae2f324e1012aa4fc60c189 9da744d53eac90d70a5cc4bb211d2572 || 0 1 1 || 0 1 1 ||
3751d866428efa43145a4b58e1c3fb22 c8345cf4e6e82b04c5f94b49794fa227 || 0 0 1 || 0 0 1 ||
d2586d527933ac52a926dc638bff46b5 56e49cf152c3a3078426a944c8d8f290 || 0 1 0 || 0 1 0 ||
34fcf9da01bfc938f0877451acc60487 07d83987afa0f840cbd4cdc468f5e388 || 0 0 0 || 0 0 0 ||
1c7bc0e4c4b5acbac25c6ae2e16abea6 fd8ecc70072cae0544aa884c2ad0bca1 || 0 0 1 || 0 0 1 ||
222024848cd8c650c7063bc934572ba2 f7435214fccb4fdc3762bf24b78234dc || 0 0 1 || 0 0 1 ||
a3e94651130d341801b4e4dc9e9432c1 9dbf371a3b51921cfdb6dab9b7bfed6a || 0 0 0 || 0 0 0 ||
2d4136643e28b73ae0911c6bfcf608a1 952a356220cedeb4241861f4f3e4425e || 0 0 1 || 0 0 1 ||
09180c6680f6ef902b5e91c0bb16cd87 cf32fa169503c04614d121c48b780c79 || 0 0 1 || 0 0 1 ||
61ab5b82ce164c5105d948c36b722cba 410ebf4fa877c96659049b707e3488d5 || 0 0 0 || 0 0 0 ||
34760662b7ebd5469a035631d8ad1c9d 4c7492d227c0c4207cc1321fcacbd400 || 0 1 1 || 0 1 1 ||
16ea213e8016eaaee5cde01ddfcd2217 d21e0a068f3a63904f6611942935c48f || 0 0 1 || 0 0 1 ||
fb76d55f4aee2fa797e83e2dd139ea69 6e89ed28fd30892a720f981153f86e5d || 0 1 0 || 0 1 0 ||
c48fea75ca33a60ae7830530cbfb5ccd e949df1e167bad87317930100bcff104 || 0 1 1 || 0 1 1 ||
9b04d704913b0c3426cb3b4a74974db4 05e4c3485d7136e862520f55ca123d9b || 0 1 0 || 0 1 0 ||
9b31be361029a5292ba9584385d39327 36cdd1ab6c80a8d1e8f563ace28b92e6 || 0 1 0 || 0 1 0 ||
79cd66089fed82588cb7e389d4f06d8a c527d8b0250ac1bf89a01d5af2255d64 || 0 0 1 || 0 0 1 ||
344b8f912051e01430848fa8ed34e128 9c4280dd7e46c41a6192d8990ae8b157 || 0 0 1 || 0 0 1 ||
11a78e266298bb44f034a2b853ec24da aba2a87309193e0a356f66b2c9644368 || 0 0 1 || 0 0 1 ||
08e0e26c8d44db34853e1e7271754ef0 30560d80f6a3edf9f36bb18dfa5d246d || 0 1 1 || 0 1 1 ||
6fcbbb55b8ca8605836f3298780a865b 18a01b46f91ae9e3073bf050d375bf51 || 0 0 0 || 0 0 0 ||
06b143742cfbd6a281451d15e10e4d7f 45925363e3ca1fb524b0c9b78e530432 || 0 1 1 || 0 1 1 ||
32b7e5ec0b5dc212117cf21f673ff5ac e6c93aecc9e083ab68a469daab9b4275 || 0 0 1 || 0 0 1 ||
b0c716b83197509586ac022bc9e1f384 f8dacde5c7a449ac4a3f2c45c2316a34 || 0 1 1 || 0 1 1 ||
ddbde3f362516e72ae7dadabbe761520 881ba40d6de26cd56fd45fc74fd93f2d || 0 0 0 || 0 0 0 ||
d9ba0395955bf8dc21fdb0f7b0b4cc73 82555cabb626dd02e842632972906952 || 0 0 0 || 0 0 0 ||
967fe4a9fef3281cb3c95443e105aeba 2420bc9cd42454522d152d9985457352 || 0 1 0 || 0 1 0 ||
1b4a9f794b07eb596044e73955fcda77 cda1ced25dac9fc211d7bc37ec457e5b || 0 0 1 || 0 0 1 ||
9f1a34028156c7bfec3cb2f4720044cf caaf0bd68966151b9909b36f8404de3d || 0 1 1 || 0 1 1 ||
fd410a719c434ace97dde3d58ae82a8e 33d73032f9be0fadbf0d6909acb5417c || 0 1 0 || 0 1 0 ||
72f3fc6786467ab9acfd1fd494409844 a317bf880c183b4d4a1bf5c23c5f31a3 || 0 0 1 || 0 0 1 ||
eb820509a112150925451a36bea9be4c 8cebe33c2db93a71821f0bbba073599c || 0 0 0 || 0 0 0 ||
4acd20f62c36a6b12191870974ecad57 af39b9cd7ce091d3778647d3e535ef71 || 0 0 1 || 0 0 1 ||
c601b1e26568eaae091d1a5b5ee208ea bf2c3cc20b3e5e8cfe21d90076ac1cef || 0 0 0 || 0 0 0 ||
60b64b4888c67129c41f53d36436dcb0 a1a3aa846d0e582f11c75865328fc3c6 || 0 0 1 || 0 0 1 ||
a503bf875ef0820ad78e671f299c6647 c8f7ea6bf7272481c6129aab33a410b5 || 0 1 1 || 0 1 1 ||
02266a7fcd81e1f6faeee7cbe212fd8a 90defbc9512655d37c41ca3ecb20dffb || 0 0 1 || 0 0 1 ||
55f9cfcdf116c036be876c350921d7fc e210dc140282271cb1956bce40bf02ce || 0 0 1 || 0 0 1 ||
56d77b57e96a94272b6505cbf1e0de5e e87b31eca3725dcb479d5e70e2333242 || 0 0 1 || 0 0 1 ||
8e8c0f55c37f9487fbb473baed3ef1ac cb1a2326221d6d6742ed332fce4207f2 || 0 1 1 || 0 1 1 ||
8a07e564332d0fc39ec2aa3d60b73d21 e38bbeb305dc2aa5aa971baf00c3ac73 || 0 1 1 || 0 1 1 ||
3ae3cbb00d5cd0f1d478ace3b39b38f0 15a3105e4a33a6ed9ee80a18f4ac963e || 0 0 0 || 0 0 0 ||
adfcba28823ae97af1c18e30e9f59bbd 0cc52f654c3c4199302910cf8ec7038a || 0 1 0 || 0 1 0 ||
6cf1c357150c148507c63c4ab4ecc0f4 78582991c5c5465851ff183a566ab2cf || 0 1 1 || 0 1 1 ||
44f2c6d444b3757210d9bcacb190c2a2 4fcbb8c8c5b817de077e671cb52fa169 || 0 1 1 || 0 1 1 ||
6d83996eee252caab2dc2554fe332e03 176818fef6818af3839e861b4b6fc8c9 || 0 0 0 || 0 0 0 ||
ef9ce1660d71e09c8fd57ac925861d02 40ab2a26c00503ef5e5866b1e155ffc9 || 0 1 0 || 0 1 0 ||
56be2a478a51e5184ea59c006a55b306 14f6f9b161cf9297446c082af6af00ab || 0 0 0 || 0 0 0 ||
fce6a964ad8977c8eae75a09a87f8159 8d05e478ad1634dad6e57460ec0528d3 || 0 0 0 || 0 0 0 ||
4386bb56d1f57131ef332d5d61753a5e b34df1496930c217bf4a147e298437de || 0 0 1 || 0 0 1 ||
fa6df39248eb2472851092cf08826ea1 ea1eb68d75441b6692e6a95903d12590 || 0 0 0 || 0 0 0 ||
53ab50a753f7ca389813ff485b3cb0fa 9d30806db634105a3b6b2eaffab75039 || 0 0 1 || 0 0 1 ||
659fbbcb3b450e2bc262eac38d98eed7 50bfa66aaaef73b23d070e1ef72cf436 || 0 0 0 || 0 0 0 ||
77e81dd237c9d2ada728458d5ab7b45e 5612fa46979631aa4807d8454fc7a2b3 || 0 0 0 || 0 0 0 ||
1244ce3af859fe09bef0a70398e44f8d 3a679424741d498b99b0ed1e3ad0151c || 0 1 1 || 0 1 1 ||
24da02499075933bea331a70bafd7407 2955718d0587c807fd33e90b8647a98d || 0 1 1 || 0 1 1 ||
913bfa6a25255cde05e961622d275c3d 623092ce3279027adbdfa81120b0ded6 || 0 1 0 || 0 1 0 ||
d94c3293866a3439412947c5c34b1401 dc58ec32919692fefbb67a4e6d210ed5 || 0 1 1 || 0 1 1 ||
02cd508d1caf386df4d1425eabac4da3 bfe5eb9169987de8a61d6df59d0a3506 || 0 0 1 || 0 0 1 ||
a27c78e29398d0f4826080fb91c48e4e f814eed17535b0c33c3e4183884df31b || 0 1 1 || 0 1 1 ||
ffbd03cc5df36a00f04cd78f3760feb2 f2f830d6faa35c316916a02e3a547ed7 || 0 0 0 || 0 0 0 ||
9b1cbfc3cc66dcca7f659d433415160d d3acafbe4c1105ba8fee8e725ae26a11 || 0 1 1 || 0 1 1 ||
aaced941f4610a0fab403525d4dbe3dc fd553a94df0b0c5ebaec037f02db49e9 || 0 1 1 || 0 1 1 ||
dc6ad8585bf1ef02f4d1932d3f53e363 2ce5f2f447fc14d06e03eb6d23b50c0c || 0 1 0 || 0 1 0 ||
