c859cba7 a700a759 || 0 0 0 || 0 0 0 ||
4bd0f020 2c54c4b7 || 0 0 0 || 0 0 0 ||
7419b1f3 d192e104 || 0 0 1 || 0 0 1 ||
2034c705 e0025e77 || 0 0 1 || 0 0 1 ||
48370f84 a52e802b || 0 0 1 || 0 0 1 ||
0b464f4b 43f1d458 || 0 1 1 || 0 1 1 ||
fd61d631 425606a3 || 0 1 0 || 0 1 0 ||
e7b4a486 c3d03e07 || 0 0 0 || 0 0 0 ||
4a80bc12 3ab67ed0 || 0 0 0 || 0 0 0 ||
9364ae9a 9470934d || 0 1 1 || 0 1 1 ||
77f6e9f0 407b20b8 || 0 0 0 || 0 0 0 ||
4caaa7c0 3a148324 || 0 0 0 || 0 0 0 ||
64e1cd63 76adabda || 0 1 1 || 0 1 1 ||
050e8d88 fafa64de || 0 0 1 || 0 0 1 ||
44600da0 c352d60a || 0 0 1 || 0 0 1 ||
045b816f 502d80aa || 0 1 1 || 0 1 1 ||
6d9fafde 3dd9d4fd || 0 0 0 || 0 0 0 ||
5e571e22 2a9d87d9 || 0 0 0 || 0 0 0 ||
06d22c1d f95710a6 || 0 0 1 || 0 0 1 ||
d04ffdab b276d2fb || 0 0 0 || 0 0 0 ||
f46389af 1c79f967 || 0 1 0 || 0 1 0 ||
296c689b f686a038 || 0 0 1 || 0 0 1 ||
44737938 0a8fc185 || 0 0 0 || 0 0 0 ||
8ba420f4 1e80cbc3 || 0 1 0 || 0 1 0 ||
ce02e946 8318b12c || 0 0 0 || 0 0 0 ||
3a9db7ae 1dfbebb6 || 0 0 0 || 0 0 0 ||
39ec7d77 c4bc5b3b || 0 0 1 || 0 0 1 ||
480947b4 1e6c0e5f || 0 0 0 || 0 0 0 ||
238c4ac7 d0ff9c10 || 0 0 1 || 0 0 1 ||
3e5f87c3 f38964be || 0 0 1 || 0 0 1 ||
8e5035cf 61a9bfcf || 0 1 0 || 0 1 0 ||
c36b92e3 e12e2556 || 0 1 1 || 0 1 1 ||
b7ba3dcf 108effc8 || 0 1 0 || 0 1 0 ||
a94f727b 204d1552 || 0 1 0 || 0 1 0 ||
63bfcd90 31dec8c3 || 0 0 0 || 0 0 0 ||
e4e04a8e a3353b6f || 0 0 0 || 0 0 0 ||
90e2c3c9 140af53a || 0 1 0 || 0 1 0 ||
dd011028 dce4c9eb || 0 0 0 || 0 0 0 ||
ff970be7 9d15ac4b || 0 0 0 || 0 0 0 ||
17255d32 41935752 || 0 1 1 || 0 1 1 ||
ef2d1fcb 17728f6d || 0 1 0 || 0 1 0 ||
aeb0973f 2d30dc91 || 0 1 0 || 0 1 0 ||
a95fe647 ec67ea1e || 0 1 1 || 0 1 1 ||
4b809e1e 5fc17cdb || 0 1 1 || 0 1 1 ||
b8d85507 717be9c4 || 0 1 0 || 0 1 0 ||
13fbb567 39389c31 || 0 1 1 || 0 1 1 ||
a262943d f7ab79c4 || 0 1 1 || 0 1 1 ||
fd461be9 0e8fb728 || 0 1 0 || 0 1 0 ||
2f64884f b81f8b53 || 0 0 1 || 0 0 1 ||
51583e6a d9873278 || 0 0 1 || 0 0 1 ||
30b8df55 a94401fa || 0 0 1 || 0 0 1 ||
c4e804ee 61c276e1 || 0 1 0 || 0 1 0 ||
8a382162 e4207762 || 0 1 1 || 0 1 1 ||
d42d3803 6bc21268 || 0 1 0 || 0 1 0 ||
5c08ca05 e84392cd || 0 0 1 || 0 0 1 ||
28577b60 956907eb || 0 0 1 || 0 0 1 ||
c3105f72 cdbda549 || 0 1 1 || 0 1 1 ||
de0c6f58 a3687cf2 || 0 0 0 || 0 0 0 ||
cf7a91ea bdfc903b || 0 0 0 || 0 0 0 ||
dee61159 8ea45791 || 0 0 0 || 0 0 0 ||
4e7711bb 8b808fb9 || 0 0 1 || 0 0 1 ||
37462c08 92d57755 || 0 0 1 || 0 0 1 ||
d0e50f15 64806ca4 || 0 1 0 || 0 1 0 ||
469d43fa c8dba5bd || 0 0 1 || 0 0 1 ||
2120cfa2 a0630d4e || 0 0 1 || 0 0 1 ||
0654ef3a 894a7d95 || 0 0 1 || 0 0 1 ||
35296ccf c66f80ec || 0 0 1 || 0 0 1 ||
759615e9 5c9754f2 || 0 0 0 || 0 0 0 ||
b84d9b81 ee1a95af || 0 1 1 || 0 1 1 ||
fbf07458 692056d0 || 0 1 0 || 0 1 0 ||
ce1b5f0c 00ba6d0f || 0 1 0 || 0 1 0 ||
6896e784 7591a3f4 || 0 1 1 || 0 1 1 ||
f4ea5095 20f395cf || 0 1 0 || 0 1 0 ||
346e5841 dda55dc3 || 0 0 1 || 0 0 1 ||
f35060ce 5dda0f5f || 0 1 0 || 0 1 0 ||
2cdeff36 29a26302 || 0 0 0 || 0 0 0 ||
5f65fbaa 9afc5b9c || 0 0 1 || 0 0 1 ||
c51ba4af 7931adbf || 0 1 0 || 0 1 0 ||
4ad747ca ebfc3e18 || 0 0 1 || 0 0 1 ||
813b6aa0 0acdf09f || 0 1 0 || 0 1 0 ||
7a904b99 a41d7151 || 0 0 1 || 0 0 1 ||
5b766eaf b96e10e2 || 0 0 1 || 0 0 1 ||
86bee0f9 917f97a4 || 0 1 1 || 0 1 1 ||
5dba5171 4c419f10 || 0 0 0 || 0 0 0 ||
a1f595fd 850d58e4 || 0 0 0 || 0 0 0 ||
21ee431c adb30c4b || 0 0 1 || 0 0 1 ||
c1d9bfcf db67ebce || 0 1 1 || 0 1 1 ||
7cc9ac07 05a0cb8d || 0 0 0 || 0 0 0 ||
68eaf46a 8319ab4d || 0 0 1 || 0 0 1 ||
43018665 60cbd8dc || 0 1 1 || 0 1 1 ||
5ffd4a58 e3af1a4a || 0 0 1 || 0 0 1 ||
aa7697ab bbbfcfdf || 0 1 1 || 0 1 1 ||
b3491381 aa0847b3 || 0 0 0 || 0 0 0 ||
6e7c0f0a bd403aab || 0 0 1 || 0 0 1 ||
46d135ff d9fe4c65 || 0 0 1 || 0 0 1 ||
22192c2e d9e18266 || 0 0 1 || 0 0 1 ||
3f3e53aa 4017452c || 0 1 1 || 0 1 1 ||
f5b1603f d0edd8e6 || 0 0 0 || 0 0 0 ||
26fc9a10 e555f340 || 0 0 1 || 0 0 1 ||
104af389 5d2aa32a || 0 1 1 || 0 1 1 ||
0055c13e 00cefd15 || 0 1 1 || 0 1 1 ||
720573aa ebc08fcb || 0 0 1 || 0 0 1 ||
cb6ff027 a10212e9 || 0 0 0 || 0 0 0 ||
c46d2cc8 9dad0d69 || 0 0 0 || 0 0 0 ||
0a39b477 37a29dc4 || 0 1 1 || 0 1 1 ||
5158e5b3 bbe85adc || 0 0 1 || 0 0 1 ||
03856051 e3c39d7b || 0 0 1 || 0 0 1 ||
3600492b 28fe5fc2 || 0 0 0 || 0 0 0 ||
a5b54ed4 e2a16900 || 0 1 1 || 0 1 1 ||
29a1fd74 b39ea191 || 0 0 1 || 0 0 1 ||
7443f12d 92982d64 || 0 0 1 || 0 0 1 ||
170930fc 6b9f6a47 || 0 1 1 || 0 1 1 ||
e99af615 02d9b132 || 0 1 0 || 0 1 0 ||
ad69d4e3 da699c0c || 0 1 1 || 0 1 1 ||
0ea23ac7 d98985f6 || 0 0 1 || 0 0 1 ||
c0bc250c 52980080 || 0 1 0 || 0 1 0 ||
59284b26 afc6202e || 0 0 1 || 0 0 1 ||
71fbd29d 63d20dfe || 0 0 0 || 0 0 0 ||
9e2297f9 6c67dbe7 || 0 1 0 || 0 1 0 ||
4a76617d a4548fe1 || 0 0 1 || 0 0 1 ||
5d2ec642 b7fb6bf8 || 0 0 1 || 0 0 1 ||
ac26b763 c128724b || 0 1 1 || 0 1 1 ||
02fd7723 021b3b9c || 0 0 0 || 0 0 0 ||
6e20b0bc 084d713b || 0 0 0 || 0 0 0 ||
4d0fd2fc f3a76055 || 0 0 1 || 0 0 1 ||
5de54b9b a8da508d || 0 0 1 || 0 0 1 ||
703e515a 97f105db || 0 0 1 || 0 0 1 ||
8350ea44 868ac75b || 0 1 1 || 0 1 1 ||
e2430e10 42094599 || 0 1 0 || 0 1 0 ||
10c0c10b 360aa05e || 0 1 1 || 0 1 1 ||
90d773e2 dd3d593f || 0 1 1 || 0 1 1 ||
763d103f 236fe1bc || 0 0 0 || 0 0 0 ||
9a3464a4 061b7561 || 0 1 0 || 0 1 0 ||
941bf37f ac12b220 || 0 1 1 || 0 1 1 ||
26a115bd 96a05ca4 || 0 0 1 || 0 0 1 ||
403775de 25c3ae4f || 0 0 0 || 0 0 0 ||
d5f8bd7b 5761d7ac || 0 1 0 || 0 1 0 ||
c1833ed0 c09f80ca || 0 0 0 || 0 0 0 ||
12c27e9b 51a7ffa6 || 0 1 1 || 0 1 1 ||
665d1989 ce99be99 || 0 0 1 || 0 0 1 ||
fa52bbbb bbcc1561 || 0 0 0 || 0 0 0 ||
3fa18a49 18cbb033 || 0 0 0 || 0 0 0 ||
ee0f211e 431cbdc4 || 0 1 0 || 0 1 0 ||
dd9291f1 d7e1cebd || 0 0 0 || 0 0 0 ||
f01bb081 0f03cce5 || 0 1 0 || 0 1 0 ||
bcc6b428 e4f67b51 || 0 1 1 || 0 1 1 ||
51999077 96c49112 || 0 0 1 || 0 0 1 ||
f72249b8 3cde6711 || 0 1 0 || 0 1 0 ||
a767a094 931f8279 || 0 0 0 || 0 0 0 ||
b58bd469 bd7d48c0 || 0 1 1 || 0 1 1 ||
642b3e36 1cbcbd3e || 0 0 0 || 0 0 0 ||
eb24b742 b77f811a || 0 0 0 || 0 0 0 ||
2610d22e 6415f080 || 0 1 1 || 0 1 1 ||
37043dc2 95bcb8fe || 0 0 1 || 0 0 1 ||
52ac2764 9737e459 || 0 0 1 || 0 0 1 ||
fe7bd388 cf2b9a5e || 0 0 0 || 0 0 0 ||
e5e0f4de b910858c || 0 0 0 || 0 0 0 ||
4ce705f7 cc7ba9ee || 0 0 1 || 0 0 1 ||
97d7f139 c77cbdf8 || 0 1 1 || 0 1 1 ||
b4d45682 59bda4d1 || 0 1 0 || 0 1 0 ||
9812ad25 96f03d7d || 0 0 0 || 0 0 0 ||
c6475ebe 99b9dd04 || 0 0 0 || 0 0 0 ||
ab5b1c01 6bdf932c || 0 1 0 || 0 1 0 ||
b629a48a 70d77522 || 0 1 0 || 0 1 0 ||
8d2c17be 5d839186 || 0 1 0 || 0 1 0 ||
f6197101 420befb9 || 0 1 0 || 0 1 0 ||
0676ca5d e238d784 || 0 0 1 || 0 0 1 ||
c648eb47 4d0b9ec4 || 0 1 0 || 0 1 0 ||
b71aa4c3 e2dd4f18 || 0 1 1 || 0 1 1 ||
55a576c0 a9e80ce7 || 0 0 1 || 0 0 1 ||
c94a8dfd 7d4ee515 || 0 1 0 || 0 1 0 ||
be1d3417 3538305d || 0 1 0 || 0 1 0 ||
ca5f22e7 114dd209 || 0 1 0 || 0 1 0 ||
3e9cec6d 54bc1042 || 0 1 1 || 0 1 1 ||
53c701a7 8a3fae8d || 0 0 1 || 0 0 1 ||
d103ee37 56def4c8 || 0 1 0 || 0 1 0 ||
42df4b8b a0ad0e26 || 0 0 1 || 0 0 1 ||
7c96fc0b c7f84234 || 0 0 1 || 0 0 1 ||
e5795973 db4b4d4e || 0 0 0 || 0 0 0 ||
06f20125 0acee1c0 || 0 1 1 || 0 1 1 ||
9bfc91ae a144605b || 0 1 1 || 0 1 1 ||
55035207 44714779 || 0 0 0 || 0 0 0 ||
2a75d0b2 317067f0 || 0 1 1 || 0 1 1 ||
35e5cbe5 74847c30 || 0 1 1 || 0 1 1 ||
617edbd9 0d64e8e1 || 0 0 0 || 0 0 0 ||
55681e60 e4a23f3c || 0 0 1 || 0 0 1 ||
3a8e6d85 1a85a46d || 0 0 0 || 0 0 0 ||
414cd4e0 aa95a341 || 0 0 1 || 0 0 1 ||
6c234c7a aea80c1b || 0 0 1 || 0 0 1 ||
b654d5dc bf229b53 || 0 1 1 || 0 1 1 ||
f13a5487 81476ce3 || 0 0 0 || 0 0 0 ||
930008b1 de7d6e4b || 0 1 1 || 0 1 1 ||
dc77d898 306cb503 || 0 1 0 || 0 1 0 ||
d13a817e bd232334 || 0 0 0 || 0 0 0 ||
641a7323 bdbe20c0 || 0 0 1 || 0 0 1 ||
7d7ea225 5a8ff118 || 0 0 0 || 0 0 0 ||
c65c2cb5 9d0cf503 || 0 0 0 || 0 0 0 ||
5dabb6e6 2cb5ddca || 0 0 0 || 0 0 0 ||
58c63332 ca4e3f88 || 0 0 1 || 0 0 1 ||
b4bac3d5 f5f61b92 || 0 1 1 || 0 1 1 ||
5d1064c1 d1353967 || 0 0 1 || 0 0 1 ||
5c468c37 5071a519 || 0 0 0 || 0 0 0 ||
fa85e8f1 40ae9a95 || 0 1 0 || 0 1 0 ||
f5446122 d3cc0991 || 0 0 0 || 0 0 0 ||
d1740f55 d575c004 || 0 1 1 || 0 1 1 ||
e86fd690 a2cc0f87 || 0 0 0 || 0 0 0 ||
5c82c926 1d0922e0 || 0 0 0 || 0 0 0 ||
83bb27a3 ef281c7f || 0 1 1 || 0 1 1 ||
8c0a1e14 f1fc3359 || 0 1 1 || 0 1 1 ||
3896574f 7e4bdfad || 0 1 1 || 0 1 1 ||
aea6bfa5 ba8b5c3d || 0 1 1 || 0 1 1 ||
ac2e0701 e327646a || 0 1 1 || 0 1 1 ||
14770e97 fcb26a43 || 0 0 1 || 0 0 1 ||
266bba86 34562bca || 0 1 1 || 0 1 1 ||
b6554f81 a3d54d7a || 0 0 0 || 0 0 0 ||
aec6c3de 70971498 || 0 1 0 || 0 1 0 ||
3b2e5357 4916ed4f || 0 1 1 || 0 1 1 ||
c0e07fcd 586a34df || 0 1 0 || 0 1 0 ||
289a5b29 847eda2e || 0 0 1 || 0 0 1 ||
76009cd5 9667f59f || 0 0 1 || 0 0 1 ||
1349a37a dbd95cdf || 0 0 1 || 0 0 1 ||
657e5631 1651a2b4 || 0 0 0 || 0 0 0 ||
9f17e874 4d9ba52e || 0 1 0 || 0 1 0 ||
34fcc6e4 9b242f77 || 0 0 1 || 0 0 1 ||
b4c7602b 3cbafd45 || 0 1 0 || 0 1 0 ||
e021fee4 0dcf7d29 || 0 1 0 || 0 1 0 ||
654dc713 82cade3f || 0 0 1 || 0 0 1 ||
3c044c5b 45df320b || 0 1 1 || 0 1 1 ||
9ed78719 0db9e9a4 || 0 1 0 || 0 1 0 ||
ea3e1ab2 5fe7b754 || 0 1 0 || 0 1 0 ||
61bc7ddd 0383386c || 0 0 0 || 0 0 0 ||
bb564e54 7e97000b || 0 1 0 || 0 1 0 ||
1ee0de37 6ca5dbbe || 0 1 1 || 0 1 1 ||
2dbe30d4 2730c84e || 0 0 0 || 0 0 0 ||
aade7579 29aacac9 || 0 1 0 || 0 1 0 ||
e19ac4e7 6afca989 || 0 1 0 || 0 1 0 ||
b2c2de4e 18038473 || 0 1 0 || 0 1 0 ||
dde213f8 f67a6faa || 0 1 1 || 0 1 1 ||
c2bbcc04 a84891ad || 0 0 0 || 0 0 0 ||
9382c805 18596b1c || 0 1 0 || 0 1 0 ||
b4be9957 7608badf || 0 1 0 || 0 1 0 ||
e70ff78c b69c70c4 || 0 0 0 || 0 0 0 ||
3a1744d8 1f9a09cb || 0 0 0 || 0 0 0 ||
71947884 f708b05b || 0 0 1 || 0 0 1 ||
6a711529 e71b6ed9 || 0 0 1 || 0 0 1 ||
d0ae02c3 a6427862 || 0 0 0 || 0 0 0 ||
49f70fab eca1c297 || 0 0 1 || 0 0 1 ||
3d002880 ceb02ecc || 0 0 1 || 0 0 1 ||
a84ac73d 9904a626 || 0 0 0 || 0 0 0 ||
e46f674b af488e7e || 0 0 0 || 0 0 0 ||
1739c635 35200f41 || 0 1 1 || 0 1 1 ||
e0ed83ba a4054cec || 0 0 0 || 0 0 0 ||
2135be00 15bfce4e || 0 0 0 || 0 0 0 ||
e301443c 0c085fe5 || 0 1 0 || 0 1 0 ||
0b83c25b d3041c23 || 0 0 1 || 0 0 1 ||
30ec61ff e3120adf || 0 0 1 || 0 0 1 ||
b2b774c0 a357acff || 0 0 0 || 0 0 0 ||
d31df2cd 0bf8ee17 || 0 1 0 || 0 1 0 ||
ca5ec918 072c289e || 0 1 0 || 0 1 0 ||
99a25868 ba694152 || 0 1 1 || 0 1 1 ||
5947a99a 2b700b12 || 0 0 0 || 0 0 0 ||
cdaf40dc 36ff7a82 || 0 1 0 || 0 1 0 ||
adcf5291 5f568fc5 || 0 1 0 || 0 1 0 ||
fbe82c02 e9b28f8b || 0 0 0 || 0 0 0 ||
da4029e1 f99a2bad || 0 1 1 || 0 1 1 ||
977989d3 c7fa58ba || 0 1 1 || 0 1 1 ||
b37954d1 df392356 || 0 1 1 || 0 1 1 ||
2d73b882 896fd8b3 || 0 0 1 || 0 0 1 ||
9399f232 50cedc35 || 0 1 0 || 0 1 0 ||
be52f85b f220a7ae || 0 1 1 || 0 1 1 ||
fea755cd e8799877 || 0 0 0 || 0 0 0 ||
69db54d9 bbbc3bfd || 0 0 1 || 0 0 1 ||
d5f15ce8 87c46194 || 0 0 0 || 0 0 0 ||
50dffe29 22b33c7f || 0 0 0 || 0 0 0 ||
f6b3e290 ff710cbe || 0 1 1 || 0 1 1 ||
d1cd3734 0a0bb512 || 0 1 0 || 0 1 0 ||
012c5cad ab50fec7 || 0 0 1 || 0 0 1 ||
d1e4a6c0 e9f1bdac || 0 1 1 || 0 1 1 ||
48663af4 164b2d7c || 0 0 0 || 0 0 0 ||
55544d4d 639fa1d8 || 0 1 1 || 0 1 1 ||
efa08b13 555da7f6 || 0 1 0 || 0 1 0 ||
591a7644 8ad57b42 || 0 0 1 || 0 0 1 ||
978127ba 3380c4a1 || 0 1 0 || 0 1 0 ||
2b19c433 4359f08d || 0 1 1 || 0 1 1 ||
b024d96a a415c939 || 0 0 0 || 0 0 0 ||
7cb258f5 595768ba || 0 0 0 || 0 0 0 ||
5e7dfe9e 68356581 || 0 1 1 || 0 1 1 ||
da002e3c b8c58138 || 0 0 0 || 0 0 0 ||
90d632ce a1dc4d09 || 0 1 1 || 0 1 1 ||
b241a835 8c26fd4c || 0 0 0 || 0 0 0 ||
ed3874bd 6c37a326 || 0 1 0 || 0 1 0 ||
a2143803 fe4bc6df || 0 1 1 || 0 1 1 ||
3b4eef4f 073b29ce || 0 0 0 || 0 0 0 ||
bc67d0cc 2c09fd30 || 0 1 0 || 0 1 0 ||
37b372e9 77592b19 || 0 1 1 || 0 1 1 ||
3553b067 59c237c9 || 0 1 1 || 0 1 1 ||
413865bd ef4aa4ef || 0 0 1 || 0 0 1 ||
38ebe08e 29b9b48c || 0 0 0 || 0 0 0 ||
6b34dd87 fa39a8ac || 0 0 1 || 0 0 1 ||
c5b3ceb0 0a0a34c2 || 0 1 0 || 0 1 0 ||
bce7a3ef be0b43ba || 0 1 1 || 0 1 1 ||
b440b4b8 4670f647 || 0 1 0 || 0 1 0 ||
f558127a 4ddfc012 || 0 1 0 || 0 1 0 ||
586a883a fa91f303 || 0 0 1 || 0 0 1 ||
50d95ede 0a9ecc93 || 0 0 0 || 0 0 0 ||
8df06b8d 6e778a5d || 0 1 0 || 0 1 0 ||
5761d78d d21bfa50 || 0 0 1 || 0 0 1 ||
cf23723d abf8eff9 || 0 0 0 || 0 0 0 ||
db5fcdc5 43c264a8 || 0 1 0 || 0 1 0 ||
533f4911 476a286e || 0 0 0 || 0 0 0 ||
b29379ab c01503ef || 0 1 1 || 0 1 1 ||
265f82f8 f56a993a || 0 0 1 || 0 0 1 ||
fbbde658 a8e27818 || 0 0 0 || 0 0 0 ||
0d406650 e6dc25e4 || 0 0 1 || 0 0 1 ||
8d951fdf b3a7b77d || 0 1 1 || 0 1 1 ||
639755bf ca3fda53 || 0 0 1 || 0 0 1 ||
06607f71 c9b8f4ed || 0 0 1 || 0 0 1 ||
a783b8d9 54ee867d || 0 1 0 || 0 1 0 ||
36b266fa fa621d79 || 0 0 1 || 0 0 1 ||
cd039234 151bb7b6 || 0 1 0 || 0 1 0 ||
b018345c b627e2e2 || 0 1 1 || 0 1 1 ||
07ab5b9f 90a4d8f4 || 0 0 1 || 0 0 1 ||
aa230867 fc258546 || 0 1 1 || 0 1 1 ||
d68cf66c e82e7851 || 0 1 1 || 0 1 1 ||
5d8c8e85 67084f56 || 0 1 1 || 0 1 1 ||
4eea1668 ccad172b || 0 0 1 || 0 0 1 ||
926a3dd2 51fe8c31 || 0 1 0 || 0 1 0 ||
feaa923b 0d8b00bc || 0 1 0 || 0 1 0 ||
0dd5fc5e e6702de4 || 0 0 1 || 0 0 1 ||
e153ce1b c8ce6fa1 || 0 0 0 || 0 0 0 ||
8805fd09 95d025bf || 0 1 1 || 0 1 1 ||
877b1343 bdb3a2ec || 0 1 1 || 0 1 1 ||
71888d08 b8685968 || 0 0 1 || 0 0 1 ||
15acbddb f81bff15 || 0 0 1 || 0 0 1 ||
cd2da403 c55baac2 || 0 0 0 || 0 0 0 ||
ba915308 8664f3ec || 0 0 0 || 0 0 0 ||
a1a88e8b 5de4c913 || 0 1 0 || 0 1 0 ||
a9c8a4a6 53b1bac4 || 0 1 0 || 0 1 0 ||
116f58f1 8b9fed39 || 0 0 1 || 0 0 1 ||
8d56097f a45faa08 || 0 1 1 || 0 1 1 ||
84ad1d8a 0e3f51e1 || 0 1 0 || 0 1 0 ||
85cd6775 7ebd7d6f || 0 1 0 || 0 1 0 ||
7dd00fba 91bed9a4 || 0 0 1 || 0 0 1 ||
12bb6e9c fef12d30 || 0 0 1 || 0 0 1 ||
d158fe2e aa158a83 || 0 0 0 || 0 0 0 ||
8104f458 03c62802 || 0 1 0 || 0 1 0 ||
aca5d4c2 9f593f24 || 0 0 0 || 0 0 0 ||
3709d7e5 43bfd2f8 || 0 1 1 || 0 1 1 ||
886c0230 13d30c56 || 0 1 0 || 0 1 0 ||
99290206 792f0e78 || 0 1 0 || 0 1 0 ||
8bb288a1 ef8c5b93 || 0 1 1 || 0 1 1 ||
0cd26bbe a35d4614 || 0 0 1 || 0 0 1 ||
0327a697 ab5a0479 || 0 0 1 || 0 0 1 ||
2c9c3583 4fff7f48 || 0 1 1 || 0 1 1 ||
e4baba8e 60b6042a || 0 1 0 || 0 1 0 ||
699fcc8d af5d44f6 || 0 0 1 || 0 0 1 ||
56c61c33 101819a9 || 0 0 0 || 0 0 0 ||
581bc26b ce7d74fb || 0 0 1 || 0 0 1 ||
0c243dbf 1c241610 || 0 1 1 || 0 1 1 ||
dffc20d4 8fabe8bd || 0 0 0 || 0 0 0 ||
ca23fc1b 0fe60bcf || 0 1 0 || 0 1 0 ||
4e5f9fa4 a3a7f636 || 0 0 1 || 0 0 1 ||
35cc9749 e68c8a28 || 0 0 1 || 0 0 1 ||
dc29a1ca 72bb845f || 0 1 0 || 0 1 0 ||
358cac57 00113e52 || 0 0 0 || 0 0 0 ||
d4ea6c11 3fd8b264 || 0 1 0 || 0 1 0 ||
6480312b 7f02c98f || 0 1 1 || 0 1 1 ||
bed13539 0983d47a || 0 1 0 || 0 1 0 ||
e9e96a27 d691a86d || 0 0 0 || 0 0 0 ||
66d74531 5370c7e1 || 0 0 0 || 0 0 0 ||
b84bb2ba a91a5d91 || 0 0 0 || 0 0 0 ||
e57b82ed 0bcb0c4a || 0 1 0 || 0 1 0 ||
e36c4e71 52e1ef85 || 0 1 0 || 0 1 0 ||
802ac615 6fcadb4f || 0 1 0 || 0 1 0 ||
9271da8a 80eb04b1 || 0 0 0 || 0 0 0 ||
106e8e88 a3b34932 || 0 0 1 || 0 0 1 ||
b29d3a3d a2368c45 || 0 0 0 || 0 0 0 ||
f888b995 d5606325 || 0 0 0 || 0 0 0 ||
c7bbdaa5 755e6079 || 0 1 0 || 0 1 0 ||
5f4ee39c ed7f7786 || 0 0 1 || 0 0 1 ||
0b99d6b1 4b7647c0 || 0 1 1 || 0 1 1 ||
ae7e3d93 0ec51d99 || 0 1 0 || 0 1 0 ||
d45c2afe e6e23db9 || 0 1 1 || 0 1 1 ||
b78868e9 c25b50bc || 0 1 1 || 0 1 1 ||
a2c22b7a effec192 || 0 1 1 || 0 1 1 ||
54791ddc 1dcd1077 || 0 0 0 || 0 0 0 ||
56df404d e18faba9 || 0 0 1 || 0 0 1 ||
c7e01055 2300eeca || 0 1 0 || 0 1 0 ||
ab474422 c8a9882e || 0 1 1 || 0 1 1 ||
419209ef 922a25e9 || 0 0 1 || 0 0 1 ||
a14801e1 af88c332 || 0 1 1 || 0 1 1 ||
c55faa71 35758891 || 0 1 0 || 0 1 0 ||
30bf5e36 278b030f || 0 0 0 || 0 0 0 ||
342dc505 b84c7363 || 0 0 1 || 0 0 1 ||
9aefa6ed 5493edc1 || 0 1 0 || 0 1 0 ||
7956d520 1a62bdab || 0 0 0 || 0 0 0 ||
0f31cb4b aeed7a8b || 0 0 1 || 0 0 1 ||
95a17414 4fc76941 || 0 1 0 || 0 1 0 ||
ef2f7927 320eab4c || 0 1 0 || 0 1 0 ||
9b8b2944 c3c0f3e2 || 0 1 1 || 0 1 1 ||
1432e6fd 334bb1d8 || 0 1 1 || 0 1 1 ||
ac426aad 8276caeb || 0 0 0 || 0 0 0 ||
2f50c544 15147b2e || 0 0 0 || 0 0 0 ||
a174f8d5 0e3de95f || 0 1 0 || 0 1 0 ||
6450cc7f 4c515001 || 0 0 0 || 0 0 0 ||
0f352c2e 0733df18 || 0 0 0 || 0 0 0 ||
547b9481 2a438039 || 0 0 0 || 0 0 0 ||
3049257d 0656643d || 0 0 0 || 0 0 0 ||
5760b07c 1d3f431a || 0 0 0 || 0 0 0 ||
212c0945 d6a51869 || 0 0 1 || 0 0 1 ||
86fdbefd ce7ad3a1 || 0 1 1 || 0 1 1 ||
779f41f1 ea398867 || 0 0 1 || 0 0 1 ||
35fd0d50 822abfbd || 0 0 1 || 0 0 1 ||
97ace644 726edd77 || 0 1 0 || 0 1 0 ||
f9c91b14 9e6c67bb || 0 0 0 || 0 0 0 ||
2d1a7d72 bc9f0b17 || 0 0 1 || 0 0 1 ||
b5235a91 b7e3e6eb || 0 1 1 || 0 1 1 ||
978a1a8f fa1f78c3 || 0 1 1 || 0 1 1 ||
8a3dbf6f 5ad88400 || 0 1 0 || 0 1 0 ||
fa77b1e7 68482406 || 0 1 0 || 0 1 0 ||
50f16f1c 29eb0cf0 || 0 0 0 || 0 0 0 ||
58b52b77 7d07602c || 0 1 1 || 0 1 1 ||
455f78d9 747be843 || 0 1 1 || 0 1 1 ||
b01ec4bf 175393b0 || 0 1 0 || 0 1 0 ||
24c31c02 5833bf5b || 0 1 1 || 0 1 1 ||
627b96a5 2803f56d || 0 0 0 || 0 0 0 ||
b5ca4cbf 978d64e2 || 0 0 0 || 0 0 0 ||
0a2b518c 285c2f63 || 0 1 1 || 0 1 1 ||
faa8b238 1b4e5614 || 0 1 0 || 0 1 0 ||
3c829c94 267d3198 || 0 0 0 || 0 0 0 ||
a3320468 e4be44d9 || 0 1 1 || 0 1 1 ||
ffb446a5 47151db4 || 0 1 0 || 0 1 0 ||
994a08cf 8cb4f60b || 0 0 0 || 0 0 0 ||
43058267 f075b280 || 0 0 1 || 0 0 1 ||
0cb9612d 047b1216 || 0 0 0 || 0 0 0 ||
0685730d 00b08da0 || 0 0 0 || 0 0 0 ||
a511f938 a5e72163 || 0 1 1 || 0 1 1 ||
74af1ec2 ef9121c6 || 0 0 1 || 0 0 1 ||
6c5ef6d6 77d473e4 || 0 1 1 || 0 1 1 ||
c3475728 a6356298 || 0 0 0 || 0 0 0 ||
0f1944d6 45d1f1aa || 0 1 1 || 0 1 1 ||
50cee4e8 998250ce || 0 0 1 || 0 0 1 ||
1343c924 72d87af7 || 0 1 1 || 0 1 1 ||
90c74a81 45eab229 || 0 1 0 || 0 1 0 ||
9b1568ef 4dfef8c7 || 0 1 0 || 0 1 0 ||
