94c8 9511 || 0 1 1 || 0 1 1 ||
3d23 d840 || 0 0 1 || 0 0 1 ||
e5a7 e816 || 0 1 1 || 0 1 1 ||
7ada 715a || 0 0 0 || 0 0 0 ||
c822 1fd5 || 0 1 0 || 0 1 0 ||
ae4c fc12 || 0 1 1 || 0 1 1 ||
fb3f 292a || 0 1 0 || 0 1 0 ||
9be1 976a || 0 0 0 || 0 0 0 ||
7a6f 99c0 || 0 0 1 || 0 0 1 ||
bde2 df9d || 0 1 1 || 0 1 1 ||
b7f9 df69 || 0 1 1 || 0 1 1 ||
00b9 5e12 || 0 1 1 || 0 1 1 ||
acf0 30ba || 0 1 0 || 0 1 0 ||
8a73 d6c2 || 0 1 1 || 0 1 1 ||
9111 a8b1 || 0 1 1 || 0 1 1 ||
0f2d 1b8c || 0 1 1 || 0 1 1 ||
bc45 9adc || 0 0 0 || 0 0 0 ||
a2b4 f164 || 0 1 1 || 0 1 1 ||
0c02 51e0 || 0 1 1 || 0 1 1 ||
fbae 2296 || 0 1 0 || 0 1 0 ||
2083 b752 || 0 0 1 || 0 0 1 ||
44c3 6f8c || 0 1 1 || 0 1 1 ||
deee 0e0d || 0 1 0 || 0 1 0 ||
2f33 ade5 || 0 0 1 || 0 0 1 ||
9c93 310d || 0 1 0 || 0 1 0 ||
6dfe 720d || 0 1 1 || 0 1 1 ||
0bdc ce9f || 0 0 1 || 0 0 1 ||
3c9c b6f2 || 0 0 1 || 0 0 1 ||
3389 8c7e || 0 0 1 || 0 0 1 ||
e07b 6ef7 || 0 1 0 || 0 1 0 ||
b6f8 6823 || 0 1 0 || 0 1 0 ||
d949 4757 || 0 1 0 || 0 1 0 ||
e345 d6c2 || 0 0 0 || 0 0 0 ||
3041 5ab0 || 0 1 1 || 0 1 1 ||
1894 7107 || 0 1 1 || 0 1 1 ||
5e30 d971 || 0 0 1 || 0 0 1 ||
47fb 38c2 || 0 0 0 || 0 0 0 ||
2c76 b6e8 || 0 0 1 || 0 0 1 ||
59f6 ffd4 || 0 0 1 || 0 0 1 ||
bdbf 4ed0 || 0 1 0 || 0 1 0 ||
0832 6035 || 0 1 1 || 0 1 1 ||
fbde f622 || 0 0 0 || 0 0 0 ||
1155 8070 || 0 0 1 || 0 0 1 ||
be07 27d0 || 0 1 0 || 0 1 0 ||
403c f732 || 0 0 1 || 0 0 1 ||
2891 7f6a || 0 1 1 || 0 1 1 ||
eba4 3406 || 0 1 0 || 0 1 0 ||
2d03 3244 || 0 1 1 || 0 1 1 ||
3b68 3678 || 0 0 0 || 0 0 0 ||
f773 0895 || 0 1 0 || 0 1 0 ||
c9ec e6e0 || 0 1 1 || 0 1 1 ||
13d6 9161 || 0 0 1 || 0 0 1 ||
9798 1008 || 0 1 0 || 0 1 0 ||
009d 0735 || 0 1 1 || 0 1 1 ||
1b40 6f85 || 0 1 1 || 0 1 1 ||
1790 3fd2 || 0 1 1 || 0 1 1 ||
e27f 77b8 || 0 1 0 || 0 1 0 ||
bf39 04c5 || 0 1 0 || 0 1 0 ||
34cd 474e || 0 1 1 || 0 1 1 ||
7d13 40df || 0 0 0 || 0 0 0 ||
4704 5c6b || 0 1 1 || 0 1 1 ||
6f0f 3a83 || 0 0 0 || 0 0 0 ||
da87 397f || 0 1 0 || 0 1 0 ||
b01c 4c36 || 0 1 0 || 0 1 0 ||
8294 3960 || 0 1 0 || 0 1 0 ||
9acc 4999 || 0 1 0 || 0 1 0 ||
c3e4 74aa || 0 1 0 || 0 1 0 ||
f676 402f || 0 1 0 || 0 1 0 ||
58ef 8fd8 || 0 0 1 || 0 0 1 ||
1127 9dee || 0 0 1 || 0 0 1 ||
534d a373 || 0 0 1 || 0 0 1 ||
b461 42ac || 0 1 0 || 0 1 0 ||
3b79 a1a8 || 0 0 1 || 0 0 1 ||
3593 b5ce || 0 0 1 || 0 0 1 ||
61de 6bf8 || 0 1 1 || 0 1 1 ||
3ad5 29c0 || 0 0 0 || 0 0 0 ||
61a5 0dbd || 0 0 0 || 0 0 0 ||
627d af6d || 0 0 1 || 0 0 1 ||
c8d2 ea70 || 0 1 1 || 0 1 1 ||
9a96 d6ff || 0 1 1 || 0 1 1 ||
0c38 8a19 || 0 0 1 || 0 0 1 ||
b800 a25d || 0 0 0 || 0 0 0 ||
37f1 8199 || 0 0 1 || 0 0 1 ||
6fbe bf6b || 0 0 1 || 0 0 1 ||
e5ba a1d7 || 0 0 0 || 0 0 0 ||
8975 289a || 0 1 0 || 0 1 0 ||
2b6a c1dc || 0 0 1 || 0 0 1 ||
8c0e a3ae || 0 1 1 || 0 1 1 ||
5f17 4099 || 0 0 0 || 0 0 0 ||
b2ac 127c || 0 1 0 || 0 1 0 ||
4e56 8a8d || 0 0 1 || 0 0 1 ||
21d0 22f2 || 0 1 1 || 0 1 1 ||
328e f5a3 || 0 0 1 || 0 0 1 ||
b582 052c || 0 1 0 || 0 1 0 ||
a68c 0fcb || 0 1 0 || 0 1 0 ||
fdde dce0 || 0 0 0 || 0 0 0 ||
d5a9 0645 || 0 1 0 || 0 1 0 ||
4b18 fcdb || 0 0 1 || 0 0 1 ||
dab0 e56a || 0 1 1 || 0 1 1 ||
46c1 e149 || 0 0 1 || 0 0 1 ||
4fb4 7f9f || 0 1 1 || 0 1 1 ||
8cc4 f949 || 0 1 1 || 0 1 1 ||
3f48 eef8 || 0 0 1 || 0 0 1 ||
d923 e9b6 || 0 1 1 || 0 1 1 ||
25bc 2da3 || 0 1 1 || 0 1 1 ||
9cdf 8600 || 0 0 0 || 0 0 0 ||
eeeb e36b || 0 0 0 || 0 0 0 ||
450c 5682 || 0 1 1 || 0 1 1 ||
afc9 26b5 || 0 1 0 || 0 1 0 ||
4b61 61b5 || 0 1 1 || 0 1 1 ||
9853 f739 || 0 1 1 || 0 1 1 ||
8f0a 88ba || 0 0 0 || 0 0 0 ||
d05f 99a9 || 0 0 0 || 0 0 0 ||
0a5b a6bf || 0 0 1 || 0 0 1 ||
a678 3f9f || 0 1 0 || 0 1 0 ||
182c 7120 || 0 1 1 || 0 1 1 ||
c96a c186 || 0 0 0 || 0 0 0 ||
3df7 4889 || 0 1 1 || 0 1 1 ||
c872 e309 || 0 1 1 || 0 1 1 ||
7ad9 a969 || 0 0 1 || 0 0 1 ||
3ab0 394e || 0 0 0 || 0 0 0 ||
8750 d7e1 || 0 1 1 || 0 1 1 ||
c48d 847f || 0 0 0 || 0 0 0 ||
18e7 7e21 || 0 1 1 || 0 1 1 ||
5a5f 10ad || 0 0 0 || 0 0 0 ||
744e 6d41 || 0 0 0 || 0 0 0 ||
c5a3 342b || 0 1 0 || 0 1 0 ||
9ae8 c713 || 0 1 1 || 0 1 1 ||
33d6 3825 || 0 1 1 || 0 1 1 ||
82fe ad0b || 0 1 1 || 0 1 1 ||
3059 3d3e || 0 1 1 || 0 1 1 ||
f640 3de7 || 0 1 0 || 0 1 0 ||
1064 4f6f || 0 1 1 || 0 1 1 ||
0c6b 6faa || 0 1 1 || 0 1 1 ||
d7e0 b20e || 0 0 0 || 0 0 0 ||
3b5f 68c6 || 0 1 1 || 0 1 1 ||
0555 f696 || 0 0 1 || 0 0 1 ||
f5b0 1608 || 0 1 0 || 0 1 0 ||
ba88 7abb || 0 1 0 || 0 1 0 ||
13fd 363f || 0 1 1 || 0 1 1 ||
26ce 28bb || 0 1 1 || 0 1 1 ||
d141 381f || 0 1 0 || 0 1 0 ||
996c b118 || 0 1 1 || 0 1 1 ||
5e34 04b5 || 0 0 0 || 0 0 0 ||
ed55 aab2 || 0 0 0 || 0 0 0 ||
fb82 73c1 || 0 1 0 || 0 1 0 ||
72d6 cef2 || 0 0 1 || 0 0 1 ||
f707 42be || 0 1 0 || 0 1 0 ||
580d 5adf || 0 1 1 || 0 1 1 ||
424e 8d5b || 0 0 1 || 0 0 1 ||
1901 1eff || 0 1 1 || 0 1 1 ||
4132 8488 || 0 0 1 || 0 0 1 ||
d27d aefc || 0 0 0 || 0 0 0 ||
7957 0b76 || 0 0 0 || 0 0 0 ||
8407 0854 || 0 1 0 || 0 1 0 ||
d818 80ae || 0 0 0 || 0 0 0 ||
4ca7 bba2 || 0 0 1 || 0 0 1 ||
ad85 0f40 || 0 1 0 || 0 1 0 ||
59f9 950c || 0 0 1 || 0 0 1 ||
9db8 1a5f || 0 1 0 || 0 1 0 ||
0afd 5b29 || 0 1 1 || 0 1 1 ||
28fb aad4 || 0 0 1 || 0 0 1 ||
6942 452d || 0 0 0 || 0 0 0 ||
374d fe05 || 0 0 1 || 0 0 1 ||
509d 74dc || 0 1 1 || 0 1 1 ||
762a 5618 || 0 0 0 || 0 0 0 ||
5e57 3a08 || 0 0 0 || 0 0 0 ||
f6f8 f334 || 0 0 0 || 0 0 0 ||
b850 845d || 0 0 0 || 0 0 0 ||
a384 7cee || 0 1 0 || 0 1 0 ||
182f 27f1 || 0 1 1 || 0 1 1 ||
e591 6dd4 || 0 1 0 || 0 1 0 ||
69e8 9b98 || 0 0 1 || 0 0 1 ||
04a7 c99b || 0 0 1 || 0 0 1 ||
b2ef fe2d || 0 1 1 || 0 1 1 ||
8a26 41c8 || 0 1 0 || 0 1 0 ||
538c f4c9 || 0 0 1 || 0 0 1 ||
82ad 1295 || 0 1 0 || 0 1 0 ||
8323 063a || 0 1 0 || 0 1 0 ||
7ba1 e91f || 0 0 1 || 0 0 1 ||
0312 5909 || 0 1 1 || 0 1 1 ||
1bd0 4b85 || 0 1 1 || 0 1 1 ||
8b74 4afe || 0 1 0 || 0 1 0 ||
d816 0792 || 0 1 0 || 0 1 0 ||
eba8 afdb || 0 0 0 || 0 0 0 ||
16c3 3e64 || 0 1 1 || 0 1 1 ||
afd0 e13a || 0 1 1 || 0 1 1 ||
3117 8580 || 0 0 1 || 0 0 1 ||
2ff7 2c80 || 0 0 0 || 0 0 0 ||
be3c d71e || 0 1 1 || 0 1 1 ||
ffe7 bdf2 || 0 0 0 || 0 0 0 ||
7719 99e3 || 0 0 1 || 0 0 1 ||
0f0f 8f6c || 0 0 1 || 0 0 1 ||
33e4 d6fd || 0 0 1 || 0 0 1 ||
aa3b 492b || 0 1 0 || 0 1 0 ||
b40f 2cd0 || 0 1 0 || 0 1 0 ||
5f42 e6e7 || 0 0 1 || 0 0 1 ||
bd56 592f || 0 1 0 || 0 1 0 ||
6834 193e || 0 0 0 || 0 0 0 ||
5a55 859b || 0 0 1 || 0 0 1 ||
7122 4b3d || 0 0 0 || 0 0 0 ||
861d fdd7 || 0 1 1 || 0 1 1 ||
e19f 515e || 0 1 0 || 0 1 0 ||
e42e 9399 || 0 0 0 || 0 0 0 ||
e42e f06b || 0 1 1 || 0 1 1 ||
581e 475f || 0 0 0 || 0 0 0 ||
b052 f4f3 || 0 1 1 || 0 1 1 ||
8603 6a5e || 0 1 0 || 0 1 0 ||
4ed2 77c3 || 0 1 1 || 0 1 1 ||
1a02 a28b || 0 0 1 || 0 0 1 ||
8f20 2d1a || 0 1 0 || 0 1 0 ||
85b6 6880 || 0 1 0 || 0 1 0 ||
0710 4d92 || 0 1 1 || 0 1 1 ||
343e a36b || 0 0 1 || 0 0 1 ||
98f5 db87 || 0 1 1 || 0 1 1 ||
ef3a aa53 || 0 0 0 || 0 0 0 ||
90ac 1a1d || 0 1 0 || 0 1 0 ||
b179 1ef0 || 0 1 0 || 0 1 0 ||
db93 1c18 || 0 1 0 || 0 1 0 ||
b271 2ec0 || 0 1 0 || 0 1 0 ||
db34 277e || 0 1 0 || 0 1 0 ||
8d50 5062 || 0 1 0 || 0 1 0 ||
8ed9 c118 || 0 1 1 || 0 1 1 ||
377a ba84 || 0 0 1 || 0 0 1 ||
abdc 5d05 || 0 1 0 || 0 1 0 ||
55fc 9a67 || 0 0 1 || 0 0 1 ||
29b7 af2e || 0 0 1 || 0 0 1 ||
e87a e531 || 0 0 0 || 0 0 0 ||
8f5b 55bb || 0 1 0 || 0 1 0 ||
456b 0328 || 0 0 0 || 0 0 0 ||
c766 48f4 || 0 1 0 || 0 1 0 ||
da26 f44a || 0 1 1 || 0 1 1 ||
900a 5fb4 || 0 1 0 || 0 1 0 ||
b71a f22e || 0 1 1 || 0 1 1 ||
6611 2dce || 0 0 0 || 0 0 0 ||
b3f8 bd99 || 0 1 1 || 0 1 1 ||
e832 8e2e || 0 0 0 || 0 0 0 ||
10c1 93b2 || 0 0 1 || 0 0 1 ||
df3c 7e1f || 0 1 0 || 0 1 0 ||
cc85 fc46 || 0 1 1 || 0 1 1 ||
c4fe df60 || 0 1 1 || 0 1 1 ||
039e ec46 || 0 0 1 || 0 0 1 ||
b4fe ef1b || 0 1 1 || 0 1 1 ||
07ff a9cb || 0 0 1 || 0 0 1 ||
9ba9 489a || 0 1 0 || 0 1 0 ||
7617 c15c || 0 0 1 || 0 0 1 ||
3bdd c29d || 0 0 1 || 0 0 1 ||
461e 536b || 0 1 1 || 0 1 1 ||
a32f 94ca || 0 0 0 || 0 0 0 ||
9ba6 5a2d || 0 1 0 || 0 1 0 ||
efb9 2bdf || 0 1 0 || 0 1 0 ||
225e f31f || 0 0 1 || 0 0 1 ||
a4e7 2d37 || 0 1 0 || 0 1 0 ||
8140 2383 || 0 1 0 || 0 1 0 ||
aed5 057f || 0 1 0 || 0 1 0 ||
728c 7c13 || 0 1 1 || 0 1 1 ||
3039 017b || 0 0 0 || 0 0 0 ||
9e20 adfc || 0 1 1 || 0 1 1 ||
f26b fc7d || 0 1 1 || 0 1 1 ||
eaea d761 || 0 0 0 || 0 0 0 ||
6314 a9ca || 0 0 1 || 0 0 1 ||
6725 3981 || 0 0 0 || 0 0 0 ||
7deb 7d8d || 0 0 0 || 0 0 0 ||
54b5 54e1 || 0 1 1 || 0 1 1 ||
8a43 89eb || 0 0 0 || 0 0 0 ||
1424 a399 || 0 0 1 || 0 0 1 ||
179c 1f2f || 0 1 1 || 0 1 1 ||
73e3 0286 || 0 0 0 || 0 0 0 ||
1fb0 d52d || 0 0 1 || 0 0 1 ||
d0e9 4f5f || 0 1 0 || 0 1 0 ||
6e2f 00b9 || 0 0 0 || 0 0 0 ||
bba0 2aeb || 0 1 0 || 0 1 0 ||
b123 061f || 0 1 0 || 0 1 0 ||
6f93 448f || 0 0 0 || 0 0 0 ||
8fc3 1ae8 || 0 1 0 || 0 1 0 ||
02c6 eb27 || 0 0 1 || 0 0 1 ||
2d94 751f || 0 1 1 || 0 1 1 ||
53bd 3e63 || 0 0 0 || 0 0 0 ||
7dbc d40c || 0 0 1 || 0 0 1 ||
e701 ead3 || 0 1 1 || 0 1 1 ||
580d fec5 || 0 0 1 || 0 0 1 ||
036f 0b0d || 0 1 1 || 0 1 1 ||
d1d5 c9db || 0 0 0 || 0 0 0 ||
b69f cc7e || 0 1 1 || 0 1 1 ||
6c3b 7693 || 0 1 1 || 0 1 1 ||
9ffd efec || 0 1 1 || 0 1 1 ||
a5c3 e7a7 || 0 1 1 || 0 1 1 ||
630e 9027 || 0 0 1 || 0 0 1 ||
9d40 bd9e || 0 1 1 || 0 1 1 ||
7dd3 f6a8 || 0 0 1 || 0 0 1 ||
9f3c 8529 || 0 0 0 || 0 0 0 ||
b923 0c8c || 0 1 0 || 0 1 0 ||
3995 0791 || 0 0 0 || 0 0 0 ||
97de 36a6 || 0 1 0 || 0 1 0 ||
3b0f e68c || 0 0 1 || 0 0 1 ||
8816 9ab4 || 0 1 1 || 0 1 1 ||
bb96 f512 || 0 1 1 || 0 1 1 ||
4888 d17b || 0 0 1 || 0 0 1 ||
51b1 3503 || 0 0 0 || 0 0 0 ||
9e4e 9a40 || 0 0 0 || 0 0 0 ||
45bf adbf || 0 0 1 || 0 0 1 ||
80eb 7083 || 0 1 0 || 0 1 0 ||
c9db c7a6 || 0 0 0 || 0 0 0 ||
41d8 98f1 || 0 0 1 || 0 0 1 ||
9e83 d4d1 || 0 1 1 || 0 1 1 ||
51c7 43d8 || 0 0 0 || 0 0 0 ||
90ad 06be || 0 1 0 || 0 1 0 ||
47d3 e1f7 || 0 0 1 || 0 0 1 ||
dbf6 15f4 || 0 1 0 || 0 1 0 ||
3758 8fee || 0 0 1 || 0 0 1 ||
e537 8927 || 0 0 0 || 0 0 0 ||
08e4 edbb || 0 0 1 || 0 0 1 ||
d0f0 0c72 || 0 1 0 || 0 1 0 ||
f162 7494 || 0 1 0 || 0 1 0 ||
1d9b 7459 || 0 1 1 || 0 1 1 ||
37fc 41bc || 0 1 1 || 0 1 1 ||
b84c da83 || 0 1 1 || 0 1 1 ||
077a e699 || 0 0 1 || 0 0 1 ||
1dd4 8a90 || 0 0 1 || 0 0 1 ||
d269 bce2 || 0 0 0 || 0 0 0 ||
bca2 1f9a || 0 1 0 || 0 1 0 ||
7037 9ea4 || 0 0 1 || 0 0 1 ||
2ee0 5f2b || 0 1 1 || 0 1 1 ||
d706 240c || 0 1 0 || 0 1 0 ||
2bb6 2ce2 || 0 1 1 || 0 1 1 ||
710e 6a83 || 0 0 0 || 0 0 0 ||
d2f6 db2d || 0 1 1 || 0 1 1 ||
41e1 e570 || 0 0 1 || 0 0 1 ||
9ca7 c522 || 0 1 1 || 0 1 1 ||
8c1c 89be || 0 0 0 || 0 0 0 ||
8a14 e705 || 0 1 1 || 0 1 1 ||
eacd 5db6 || 0 1 0 || 0 1 0 ||
8bc4 a225 || 0 1 1 || 0 1 1 ||
beca 1ca4 || 0 1 0 || 0 1 0 ||
8b5f 4903 || 0 1 0 || 0 1 0 ||
5058 92ed || 0 0 1 || 0 0 1 ||
8f59 3440 || 0 1 0 || 0 1 0 ||
5c15 717a || 0 1 1 || 0 1 1 ||
b304 0026 || 0 1 0 || 0 1 0 ||
c82e 410a || 0 1 0 || 0 1 0 ||
3f19 d886 || 0 0 1 || 0 0 1 ||
07cb 51c8 || 0 1 1 || 0 1 1 ||
d813 fdcd || 0 1 1 || 0 1 1 ||
1ebe b3ce || 0 0 1 || 0 0 1 ||
a752 db05 || 0 1 1 || 0 1 1 ||
576a 9223 || 0 0 1 || 0 0 1 ||
10f0 2340 || 0 1 1 || 0 1 1 ||
f3b9 fb15 || 0 1 1 || 0 1 1 ||
e109 0436 || 0 1 0 || 0 1 0 ||
c835 0224 || 0 1 0 || 0 1 0 ||
47a3 6389 || 0 1 1 || 0 1 1 ||
7488 72e7 || 0 0 0 || 0 0 0 ||
ebc5 9f48 || 0 0 0 || 0 0 0 ||
5bfc d803 || 0 0 1 || 0 0 1 ||
67ca 40a3 || 0 0 0 || 0 0 0 ||
15c1 eadb || 0 0 1 || 0 0 1 ||
6a0b c2f5 || 0 0 1 || 0 0 1 ||
cd6e 6bad || 0 1 0 || 0 1 0 ||
ed0d 5a71 || 0 1 0 || 0 1 0 ||
6b0d 22c6 || 0 0 0 || 0 0 0 ||
896e 7942 || 0 1 0 || 0 1 0 ||
ad6d c0c4 || 0 1 1 || 0 1 1 ||
1e23 b1b8 || 0 0 1 || 0 0 1 ||
dbb4 ed83 || 0 1 1 || 0 1 1 ||
0c19 d6bb || 0 0 1 || 0 0 1 ||
7b21 6d94 || 0 0 0 || 0 0 0 ||
45af f687 || 0 0 1 || 0 0 1 ||
7525 a292 || 0 0 1 || 0 0 1 ||
69d2 2724 || 0 0 0 || 0 0 0 ||
816f db2a || 0 1 1 || 0 1 1 ||
11d2 4b04 || 0 1 1 || 0 1 1 ||
a60f 7cb6 || 0 1 0 || 0 1 0 ||
ddae 8af2 || 0 0 0 || 0 0 0 ||
dd1e f3c2 || 0 1 1 || 0 1 1 ||
1df2 fe09 || 0 0 1 || 0 0 1 ||
753e 8841 || 0 0 1 || 0 0 1 ||
cbb9 c6a8 || 0 0 0 || 0 0 0 ||
9c3d 6ba4 || 0 1 0 || 0 1 0 ||
92b1 b842 || 0 1 1 || 0 1 1 ||
cab0 6f97 || 0 1 0 || 0 1 0 ||
5e69 c07f || 0 0 1 || 0 0 1 ||
daf4 5088 || 0 1 0 || 0 1 0 ||
30a0 6e16 || 0 1 1 || 0 1 1 ||
764a b269 || 0 0 1 || 0 0 1 ||
29f8 882c || 0 0 1 || 0 0 1 ||
7dae 261d || 0 0 0 || 0 0 0 ||
8bf9 e2c7 || 0 1 1 || 0 1 1 ||
7954 fb38 || 0 0 1 || 0 0 1 ||
b007 da87 || 0 1 1 || 0 1 1 ||
be53 45cd || 0 1 0 || 0 1 0 ||
b0a1 ea91 || 0 1 1 || 0 1 1 ||
8ce5 bd0a || 0 1 1 || 0 1 1 ||
e4e5 6eb9 || 0 1 0 || 0 1 0 ||
ff02 352b || 0 1 0 || 0 1 0 ||
05bc 2b73 || 0 1 1 || 0 1 1 ||
219a 9067 || 0 0 1 || 0 0 1 ||
c5a4 fbba || 0 1 1 || 0 1 1 ||
ef59 3e16 || 0 1 0 || 0 1 0 ||
4163 ffd8 || 0 0 1 || 0 0 1 ||
68a7 4037 || 0 0 0 || 0 0 0 ||
2286 dc66 || 0 0 1 || 0 0 1 ||
a575 5feb || 0 1 0 || 0 1 0 ||
da4b 63da || 0 1 0 || 0 1 0 ||
1a73 4c29 || 0 1 1 || 0 1 1 ||
f5bd 57c5 || 0 1 0 || 0 1 0 ||
1513 28ae || 0 1 1 || 0 1 1 ||
12bf e5dd || 0 0 1 || 0 0 1 ||
19c1 a8cb || 0 0 1 || 0 0 1 ||
1232 7cf4 || 0 1 1 || 0 1 1 ||
2d11 7302 || 0 1 1 || 0 1 1 ||
e717 3a72 || 0 1 0 || 0 1 0 ||
1bc8 0dcd || 0 0 0 || 0 0 0 ||
399b a6bb || 0 0 1 || 0 0 1 ||
2e86 8407 || 0 0 1 || 0 0 1 ||
3157 e486 || 0 0 1 || 0 0 1 ||
83e1 24b2 || 0 1 0 || 0 1 0 ||
586a ae38 || 0 0 1 || 0 0 1 ||
bc8b 843c || 0 0 0 || 0 0 0 ||
104c c67c || 0 0 1 || 0 0 1 ||
90aa f81f || 0 1 1 || 0 1 1 ||
bd6a 2171 || 0 1 0 || 0 1 0 ||
0594 680a || 0 1 1 || 0 1 1 ||
c0cc 50c6 || 0 1 0 || 0 1 0 ||
bed4 c589 || 0 1 1 || 0 1 1 ||
aa92 2049 || 0 1 0 || 0 1 0 ||
b28f 7464 || 0 1 0 || 0 1 0 ||
b5ce f817 || 0 1 1 || 0 1 1 ||
ed44 cb1e || 0 0 0 || 0 0 0 ||
3f36 fd1e || 0 0 1 || 0 0 1 ||
83f5 802a || 0 0 0 || 0 0 0 ||
12b5 ad09 || 0 0 1 || 0 0 1 ||
c53f 2097 || 0 1 0 || 0 1 0 ||
84fa eca7 || 0 1 1 || 0 1 1 ||
38fc d2d1 || 0 0 1 || 0 0 1 ||
7efc f23c || 0 0 1 || 0 0 1 ||
5ca0 19b3 || 0 0 0 || 0 0 0 ||
9fe0 4891 || 0 1 0 || 0 1 0 ||
7357 860c || 0 0 1 || 0 0 1 ||
fe9a 6eaf || 0 1 0 || 0 1 0 ||
b829 768c || 0 1 0 || 0 1 0 ||
c41c 8a48 || 0 0 0 || 0 0 0 ||
cffd f16e || 0 1 1 || 0 1 1 ||
cd65 c672 || 0 0 0 || 0 0 0 ||
e85d d111 || 0 0 0 || 0 0 0 ||
9b63 1a72 || 0 1 0 || 0 1 0 ||
7485 2615 || 0 0 0 || 0 0 0 ||
db96 2408 || 0 1 0 || 0 1 0 ||
d9f3 e268 || 0 1 1 || 0 1 1 ||
7260 ed5d || 0 0 1 || 0 0 1 ||
7355 4083 || 0 0 0 || 0 0 0 ||
a70c 04dd || 0 1 0 || 0 1 0 ||
bfb2 5a22 || 0 1 0 || 0 1 0 ||
00a3 4601 || 0 1 1 || 0 1 1 ||
41fc 796a || 0 1 1 || 0 1 1 ||
6e03 36ab || 0 0 0 || 0 0 0 ||
f54c 2a75 || 0 1 0 || 0 1 0 ||
cbc7 c6f0 || 0 0 0 || 0 0 0 ||
6aff 9566 || 0 0 1 || 0 0 1 ||
ac76 da06 || 0 1 1 || 0 1 1 ||
203c b7df || 0 0 1 || 0 0 1 ||
9566 76cc || 0 1 0 || 0 1 0 ||
527b 0511 || 0 0 0 || 0 0 0 ||
fb7d 761a || 0 1 0 || 0 1 0 ||
d1af d0d4 || 0 0 0 || 0 0 0 ||
4a07 4b06 || 0 1 1 || 0 1 1 ||
1bb9 986a || 0 0 1 || 0 0 1 ||
d06f 45d3 || 0 1 0 || 0 1 0 ||
b3d9 0521 || 0 1 0 || 0 1 0 ||
6c4c 3645 || 0 0 0 || 0 0 0 ||
ddd2 786b || 0 1 0 || 0 1 0 ||
a003 30fb || 0 1 0 || 0 1 0 ||
f18d 6cae || 0 1 0 || 0 1 0 ||
e5e7 a21b || 0 0 0 || 0 0 0 ||
94a1 4664 || 0 1 0 || 0 1 0 ||
9505 1a8f || 0 1 0 || 0 1 0 ||
fb16 679f || 0 1 0 || 0 1 0 ||
31cc b185 || 0 0 1 || 0 0 1 ||
cc7a 06d0 || 0 1 0 || 0 1 0 ||
fa8f ff07 || 0 1 1 || 0 1 1 ||
6e36 a746 || 0 0 1 || 0 0 1 ||
f7f1 7c4b || 0 1 0 || 0 1 0 ||
41bc dbca || 0 0 1 || 0 0 1 ||
b96a 638d || 0 1 0 || 0 1 0 ||
34dd 96bd || 0 0 1 || 0 0 1 ||
298d 42ad || 0 1 1 || 0 1 1 ||
88bd f346 || 0 1 1 || 0 1 1 ||
bafe 6142 || 0 1 0 || 0 1 0 ||
d8e8 3b50 || 0 1 0 || 0 1 0 ||
a2bf 1203 || 0 1 0 || 0 1 0 ||
f6c0 8a37 || 0 0 0 || 0 0 0 ||
a9fb a97c || 0 0 0 || 0 0 0 ||
a799 38f3 || 0 1 0 || 0 1 0 ||
05bf bc5a || 0 0 1 || 0 0 1 ||
d491 6953 || 0 1 0 || 0 1 0 ||
fc1b ae7c || 0 0 0 || 0 0 0 ||
b427 24d2 || 0 1 0 || 0 1 0 ||
9e1f c4ee || 0 1 1 || 0 1 1 ||
4881 3d98 || 0 0 0 || 0 0 0 ||
3650 d410 || 0 0 1 || 0 0 1 ||
4428 56bb || 0 1 1 || 0 1 1 ||
7057 79f9 || 0 1 1 || 0 1 1 ||
2683 fb7b || 0 0 1 || 0 0 1 ||
50ba 9a0f || 0 0 1 || 0 0 1 ||
5593 e8d0 || 0 0 1 || 0 0 1 ||
4922 3915 || 0 0 0 || 0 0 0 ||
0004 9935 || 0 0 1 || 0 0 1 ||
cf56 479a || 0 1 0 || 0 1 0 ||
7291 b06d || 0 0 1 || 0 0 1 ||
97b1 ac9c || 0 1 1 || 0 1 1 ||
2548 1390 || 0 0 0 || 0 0 0 ||
e81d 83e9 || 0 0 0 || 0 0 0 ||
a960 03af || 0 1 0 || 0 1 0 ||
5b1c 70c3 || 0 1 1 || 0 1 1 ||
d6b2 11f9 || 0 1 0 || 0 1 0 ||
7c81 a892 || 0 0 1 || 0 0 1 ||
955f bf6a || 0 1 1 || 0 1 1 ||
db72 ae74 || 0 0 0 || 0 0 0 ||
967d 848e || 0 0 0 || 0 0 0 ||
272d 9a8c || 0 0 1 || 0 0 1 ||
3b83 29a6 || 0 0 0 || 0 0 0 ||
5460 ec6f || 0 0 1 || 0 0 1 ||
f3e5 6600 || 0 1 0 || 0 1 0 ||
9b47 cb88 || 0 1 1 || 0 1 1 ||
a1d9 3342 || 0 1 0 || 0 1 0 ||
3e48 d9f3 || 0 0 1 || 0 0 1 ||
59b4 b4e4 || 0 0 1 || 0 0 1 ||
af77 ff72 || 0 1 1 || 0 1 1 ||
a5ca 87ef || 0 0 0 || 0 0 0 ||
b872 8f0d || 0 0 0 || 0 0 0 ||
b1aa c655 || 0 1 1 || 0 1 1 ||
541e acbb || 0 0 1 || 0 0 1 ||
321f 3fcd || 0 1 1 || 0 1 1 ||
5c89 7cf3 || 0 1 1 || 0 1 1 ||
