a836f4911b9790a9 5abc70a24a81959b || 0 1 0 || 0 1 0 ||
82a686d2b01809d1 2691833fedbd7f2f || 0 1 0 || 0 1 0 ||
9fda6b003a30f2f7 e56730e18be9c0ef || 0 1 1 || 0 1 1 ||
1b011147b97b6d85 cc36ee06bf897dbe || 0 0 1 || 0 0 1 ||
21530a3f91b162ab 2b87fc39e597a9f1 || 0 1 1 || 0 1 1 ||
e39d187d7da849d2 5b928ea1eee508c8 || 0 1 0 || 0 1 0 ||
1808adfdc76ef947 f048b9e900ff211c || 0 0 1 || 0 0 1 ||
ce0fd7f4d25f6e98 543d529d70ee0ef1 || 0 1 0 || 0 1 0 ||
1970d90ec9e8cc2c dec198eb3b264176 || 0 0 1 || 0 0 1 ||
a5e434c3732969ae 17b29d684ea8bf65 || 0 1 0 || 0 1 0 ||
e5e8b9a766a3f706 028a11ee718fd945 || 0 1 0 || 0 1 0 ||
e6b986bfb154bf98 869f677c66d7fcf0 || 0 0 0 || 0 0 0 ||
38739170915a6352 7794f3b0d481e247 || 0 1 1 || 0 1 1 ||
2c1b993602f08dbe 0ce15680745770e5 || 0 0 0 || 0 0 0 ||
9b54982ef9a89899 fe26e68d1150a0b3 || 0 1 1 || 0 1 1 ||
413078b3f311487b 4d08e2683006fe1f || 0 1 1 || 0 1 1 ||
3b24711698b69857 76c02ffa1d39a393 || 0 1 1 || 0 1 1 ||
7224e72a019970e1 46b2e56e26f8515b || 0 0 0 || 0 0 0 ||
8aac28ae93cf3b6a 40dac7f99a3a7dbf || 0 1 0 || 0 1 0 ||
ea3f29566db838b4 bd07909e42fb957e || 0 0 0 || 0 0 0 ||
5d46f9307ab14e5c 8b7c0ab91b026e3b || 0 0 1 || 0 0 1 ||
e53205ea6565ecad 8f9b7d3bd9f38436 || 0 0 0 || 0 0 0 ||
da17cc49beb186b3 f5fcd03295fe85e5 || 0 1 1 || 0 1 1 ||
9e641c3a0766b7ba 458a62ba5b722234 || 0 1 0 || 0 1 0 ||
08ccee6ada73a0d3 5981429ac7e123af || 0 1 1 || 0 1 1 ||
eb0fb83fa5908f95 77422ba1787dc0ea || 0 1 0 || 0 1 0 ||
b5506907e74fdf6d 5387c039e7fd0753 || 0 1 0 || 0 1 0 ||
e5aba56afca7e23e 264311b95b6bdfc0 || 0 1 0 || 0 1 0 ||
ecced732cec2f087 672f5ca1b9614bb9 || 0 1 0 || 0 1 0 ||
63fd53076933d57a f415da3e5744caea || 0 0 1 || 0 0 1 ||
f9c53956426dcc98 8a8fa4e56328eb4a || 0 0 0 || 0 0 0 ||
100706bb326ce461 088e0e61323ecfb4 || 0 0 0 || 0 0 0 ||
85e44e4cee12bece 0c21c99d9b78845a || 0 1 0 || 0 1 0 ||
6a1c2cdd8f9b1bae 14b34f133796eef6 || 0 0 0 || 0 0 0 ||
d127b85f691812f6 c94670a4bb387cf1 || 0 0 0 || 0 0 0 ||
e18d37acc27dcdb4 3d5f1cbb5b10f6d7 || 0 1 0 || 0 1 0 ||
0839a21dea22e0b1 88a75c25b5af0fe0 || 0 0 1 || 0 0 1 ||
aaaaa271850b7685 f27aaf02a3048ba9 || 0 1 1 || 0 1 1 ||
880fd553b3b9b690 fd2fe0746843e13a || 0 1 1 || 0 1 1 ||
fa751f5220df5a3b 2c06d24e446feeba || 0 1 0 || 0 1 0 ||
610b264c54732763 54d1211c4f86b4fb || 0 0 0 || 0 0 0 ||
d122b110fbc267b3 df0aacd99c7d8852 || 0 1 1 || 0 1 1 ||
3f011eef3de3e37c 5b29e2848c7f3b75 || 0 1 1 || 0 1 1 ||
33cd0ddfbf1cc3e9 892f47db9a2526e3 || 0 0 1 || 0 0 1 ||
4111ed50d83dc4c0 9518d86e4e19577f || 0 0 1 || 0 0 1 ||
68c73b62d8dcb59e 912b8c90f1a0cbf3 || 0 0 1 || 0 0 1 ||
f02caa0375d4847b ba0f1ed661c62bc1 || 0 0 0 || 0 0 0 ||
139f48d8e28bb3e7 6ccf12f1114bb3e5 || 0 1 1 || 0 1 1 ||
b26613d1f44762fa 9c7e6b26a079f654 || 0 0 0 || 0 0 0 ||
a17565f04c33dfe6 9473bbbc50ae597c || 0 0 0 || 0 0 0 ||
72fa8d337d369736 241cbd582ac65cc6 || 0 0 0 || 0 0 0 ||
5dde6afc229fbbb4 58e059f9e146faa9 || 0 0 0 || 0 0 0 ||
b5c20f518a2c8039 c093b15acbb3daf6 || 0 1 1 || 0 1 1 ||
418d631432f2950d e1c14c8116c7a1b7 || 0 0 1 || 0 0 1 ||
5c2e805ba2a5e86c be1f002eb66a40dd || 0 0 1 || 0 0 1 ||
6509f471b6c0ca67 be842a33a31b8b5e || 0 0 1 || 0 0 1 ||
d5afe5f55be4f88f 6c5717ec4491a50f || 0 1 0 || 0 1 0 ||
4cc5f7bf8603154d af5d9882713bdf2c || 0 0 1 || 0 0 1 ||
470833cd4525cb49 b34285dbc42ad162 || 0 0 1 || 0 0 1 ||
75851159e2d0d8e8 63fe8ca63598946f || 0 0 0 || 0 0 0 ||
487512db1c68e4bd 2174a45cc9266ddd || 0 0 0 || 0 0 0 ||
4307e7f96dcbb053 d0baea39ff433a0d || 0 0 1 || 0 0 1 ||
6169c395516cb900 e37e573b998fa9b7 || 0 0 1 || 0 0 1 ||
9352d4b478b239c7 ed77e400f9c403c0 || 0 1 1 || 0 1 1 ||
6f5662145d915163 44a06d9ff4ff5621 || 0 0 0 || 0 0 0 ||
1490d9a7386e2951 2941507499baa7ab || 0 1 1 || 0 1 1 ||
992e7e570bd9852a e8e4650400db640c || 0 1 1 || 0 1 1 ||
6f2a59872a2a97d0 10311b3d5ed0ed32 || 0 0 0 || 0 0 0 ||
cd59767d1d59bb71 dd6cc69b4e879aa8 || 0 1 1 || 0 1 1 ||
c3f371eda76d698d e6918cbc053515d9 || 0 1 1 || 0 1 1 ||
4adaeaba3ac5f5f2 66c476b6efa2f5fa || 0 1 1 || 0 1 1 ||
5aab60eb240716bb 79dc27fef939b4f9 || 0 1 1 || 0 1 1 ||
4aab501aa1cff8f8 ebb64298f2813fe9 || 0 0 1 || 0 0 1 ||
81bec041b3f09e4a 1c07d5c71ad9bb09 || 0 1 0 || 0 1 0 ||
588b0702a0e95aa4 c018e57782a11038 || 0 0 1 || 0 0 1 ||
723edb62af1851ab 2727a25240bd8827 || 0 0 0 || 0 0 0 ||
53cec9bdc07a578d 1ca4a3239fd6bdbe || 0 0 0 || 0 0 0 ||
d67e0422897bd743 30a0ee6a42819833 || 0 1 0 || 0 1 0 ||
176ea06c029e907e 670730d32fd8ba0a || 0 1 1 || 0 1 1 ||
67fc6768d5115f77 1bca559d190e711f || 0 0 0 || 0 0 0 ||
7518fa9241cc47a3 7c53aa7052771e72 || 0 1 1 || 0 1 1 ||
d56ae1962fdfbb3f 8219b548aa0a5e3d || 0 0 0 || 0 0 0 ||
a44d7f6d153b34e4 5f91660dbb931f27 || 0 1 0 || 0 1 0 ||
dcf62b2533e62937 618fb96a30955ec2 || 0 1 0 || 0 1 0 ||
20c03f0dd5b828ab e3e2ddad2078d7e8 || 0 0 1 || 0 0 1 ||
289a68e65e5710c8 6a4dc0fa3106fff7 || 0 1 1 || 0 1 1 ||
5f4edc536c5077a0 190135d59c6f95f3 || 0 0 0 || 0 0 0 ||
3d6086ca9055a80a d8a27126ed994c25 || 0 0 1 || 0 0 1 ||
a85557f4f985070a 5d3b0b0e4fbe0e57 || 0 1 0 || 0 1 0 ||
cef5360e18ed9553 7d44761c66c82dc4 || 0 1 0 || 0 1 0 ||
1a0de2e9f7916029 e545e71a0b93537d || 0 0 1 || 0 0 1 ||
780a769a87cf8467 ec17ec38eb74bcb8 || 0 0 1 || 0 0 1 ||
d8651e477edd6617 8de0e1f7334b5841 || 0 0 0 || 0 0 0 ||
8317691183d1ce3f 2723f55f73000dc5 || 0 1 0 || 0 1 0 ||
e1e99b824f137e66 fb499c76d11eaeea || 0 1 1 || 0 1 1 ||
546b65cdc15ad69a a1f024c8af142024 || 0 0 1 || 0 0 1 ||
056c0155b08d3789 383ae1bef727c358 || 0 1 1 || 0 1 1 ||
392b8d5cd37887fb e043cb02de7ef0c8 || 0 0 1 || 0 0 1 ||
0dc8a35fa8aeb673 6e3303fd63d46fd8 || 0 1 1 || 0 1 1 ||
98518850e2af825a ec1452122e347073 || 0 1 1 || 0 1 1 ||
3980f0be838856e6 fc09e48af69c4b9f || 0 0 1 || 0 0 1 ||
861838028f7a742e 93ea42aa452a6c1a || 0 1 1 || 0 1 1 ||
60bc85bf23ffb080 d00d7cec8c2e7dcd || 0 0 1 || 0 0 1 ||
7a7a47e7f9cf7808 e3d66d6969aa1e73 || 0 0 1 || 0 0 1 ||
deea733dfcf8d5cd e1a1363d0677fed5 || 0 1 1 || 0 1 1 ||
419f4b1a3d76eb76 5d9fe85d4ea7e4f6 || 0 1 1 || 0 1 1 ||
550e0f51aa006380 dacd5f360b137390 || 0 0 1 || 0 0 1 ||
e65e10e3ffee44d4 1f1c1704111b159e || 0 1 0 || 0 1 0 ||
ffc115c24c41d53f 90bafc92a2260055 || 0 0 0 || 0 0 0 ||
a0d41d8fc33af65e 794904e552c38a12 || 0 1 0 || 0 1 0 ||
d04b63e22093460a 0766fd26dd7785b5 || 0 1 0 || 0 1 0 ||
8b03eff39c5794d6 97436dc0dfe7200b || 0 1 1 || 0 1 1 ||
cac1211e31f083b1 4762dfea91e94ebc || 0 1 0 || 0 1 0 ||
0c44097f76e92ca2 9b777004316884af || 0 0 1 || 0 0 1 ||
ed0fd4b94215ab71 08eef378c678362b || 0 1 0 || 0 1 0 ||
06857b48e0c5ba36 7f31fb21cfa423ca || 0 1 1 || 0 1 1 ||
7ccdc647e926b2a6 d396ca3ba899caf8 || 0 0 1 || 0 0 1 ||
3b7a3be6f828a863 2f9e265b9b8e0f57 || 0 0 0 || 0 0 0 ||
10ead33307498c7f a24a05123bd81203 || 0 0 1 || 0 0 1 ||
b847739c659352ec 5dc93a589f77cca4 || 0 1 0 || 0 1 0 ||
fc4b1c795408ebfb 1f869ba080b06b8f || 0 1 0 || 0 1 0 ||
4615651b453a0fa7 dd56b6d5c2bc9b19 || 0 0 1 || 0 0 1 ||
dd739123bd209dcf c91dc48682835689 || 0 0 0 || 0 0 0 ||
a63196a5d839d57d a30d77cab825f0cc || 0 0 0 || 0 0 0 ||
3607ca4a1e0b1887 bec449372cb8136c || 0 0 1 || 0 0 1 ||
894b6dbe11a70c65 091bd2f9e56739ca || 0 1 0 || 0 1 0 ||
c1e194dee020e157 bf14f833a0412fba || 0 0 0 || 0 0 0 ||
25c79a9715a36a06 27abbba7c2488447 || 0 1 1 || 0 1 1 ||
c005eb972fdbe81b 9f3edc410979d444 || 0 0 0 || 0 0 0 ||
22bd5ad0c165f774 c4b8ac5cf98d8f6f || 0 0 1 || 0 0 1 ||
899977e923c27bb2 63a3768fcca0d180 || 0 1 0 || 0 1 0 ||
b04b8b1f4a1a8de6 f74911eda85bc81c || 0 1 1 || 0 1 1 ||
c8d0dcc24115d742 d6ba746e3406a81e || 0 1 1 || 0 1 1 ||
23737e671abe5ad0 1e711166910becb8 || 0 0 0 || 0 0 0 ||
2d4ab137a4133785 1afc91470319a09f || 0 0 0 || 0 0 0 ||
8829655ca492a417 b7446a5a1459428b || 0 1 1 || 0 1 1 ||
4fe9767e029485b6 53ef77b311d70916 || 0 1 1 || 0 1 1 ||
a67318580e02ee89 fba65786f1bc0af9 || 0 1 1 || 0 1 1 ||
de9443d115c94d92 7ca5cfb694e34d88 || 0 1 0 || 0 1 0 ||
209a2b1e6e15cc93 b2b8afe52fac56d2 || 0 0 1 || 0 0 1 ||
72f50fb6d05fa7e4 ac5513a99bb39c9d || 0 0 1 || 0 0 1 ||
bc3e50f00f492443 5ab10fcad804f48c || 0 1 0 || 0 1 0 ||
803c4796297297ef 7398efccfd04084c || 0 1 0 || 0 1 0 ||
38c7fc337c9190a7 3cec5b3dd4005300 || 0 1 1 || 0 1 1 ||
a61939dc9186acd8 05872b966e391f91 || 0 1 0 || 0 1 0 ||
0cff29e965baba15 01bb1639480e11b8 || 0 0 0 || 0 0 0 ||
dee5e26ffd167cbd c6bf5a3a9d6f8efa || 0 0 0 || 0 0 0 ||
68ecb0e62c03c326 1a2bec0f76cddf6d || 0 0 0 || 0 0 0 ||
5a674e97399d7dd4 44e033d85185a29d || 0 0 0 || 0 0 0 ||
eb1166bf2c5b9c1b 2b467087d59508da || 0 1 0 || 0 1 0 ||
52eb42a2c37d1b76 9be392f3bea415bb || 0 0 1 || 0 0 1 ||
a87f34180eee2a65 8602c549b2a86be2 || 0 0 0 || 0 0 0 ||
332199aa659e5a07 0a492e9024b989f0 || 0 0 0 || 0 0 0 ||
594561358abe3555 65b140dbee2ece23 || 0 1 1 || 0 1 1 ||
f29bd077a645eaa0 3f738287d8a2ab0c || 0 1 0 || 0 1 0 ||
794ba12e417d7191 f9dd5e62549e7144 || 0 0 1 || 0 0 1 ||
1c3d5a99077236a6 d0871fa39cd768e8 || 0 0 1 || 0 0 1 ||
bf83dcf0757d4062 1b9ee96787d4e176 || 0 1 0 || 0 1 0 ||
e808d1fa33a3c5bf 5a869ddae447cc97 || 0 1 0 || 0 1 0 ||
3b9bc1b44a5a71f4 1b9d6f50683b9f72 || 0 0 0 || 0 0 0 ||
3dd0a27e663128c8 780e7559f64f0cc5 || 0 1 1 || 0 1 1 ||
9b948c672404e91c 5b584c85530c4975 || 0 1 0 || 0 1 0 ||
8af2149dcc74a346 f6891d4898042c46 || 0 1 1 || 0 1 1 ||
79901f1fdd60199d ef51ff86eb16196d || 0 0 1 || 0 0 1 ||
2684ffbedcdeef8e 6658862773e143fe || 0 1 1 || 0 1 1 ||
0261009c1a12c55e 7899234abd746465 || 0 1 1 || 0 1 1 ||
e8d88b27a2ee14df f790f076e32484d3 || 0 1 1 || 0 1 1 ||
bc18e8a60f3951b6 1efae81e9173231e || 0 1 0 || 0 1 0 ||
b33d87c0835236fa 3b88aa90c0ee7d74 || 0 1 0 || 0 1 0 ||
1e2d3f9672a7a617 ee06b4e2a39a79b9 || 0 0 1 || 0 0 1 ||
a25117e44fae8841 b809a2937555b2b1 || 0 1 1 || 0 1 1 ||
6d252ff1e83a3305 24ad92cf8a6421fd || 0 0 0 || 0 0 0 ||
28b42e2dc3da457a dab3879be7eff49a || 0 0 1 || 0 0 1 ||
ed43bc87a94dd1f3 0ddd032dba40cd2d || 0 1 0 || 0 1 0 ||
1134350fa473aeed f7c27f49f1725de5 || 0 0 1 || 0 0 1 ||
52001fddc7ddd95a 51ea27e00fb60afe || 0 0 0 || 0 0 0 ||
cc7d75d74da712a4 6a52543a2cc2cc66 || 0 1 0 || 0 1 0 ||
cb06f4f1da4667cf 30d4a3f8eb539877 || 0 1 0 || 0 1 0 ||
94728c22dd3c0979 a350043ca0d122cf || 0 1 1 || 0 1 1 ||
95dac929167f8acc ba6f02af25c5bb8a || 0 1 1 || 0 1 1 ||
4f6a61dc53ab2442 1a0ee68f665740be || 0 0 0 || 0 0 0 ||
b2aceb63456803e4 ed0ac69d7358cf25 || 0 1 1 || 0 1 1 ||
51a06859aa366e0e 07b28e2e2c55520d || 0 0 0 || 0 0 0 ||
bc9e68462c19265b 621b2aff11d3e0e9 || 0 1 0 || 0 1 0 ||
d23477a8024af896 7e4071fcf5d04c31 || 0 1 0 || 0 1 0 ||
24d17ae3378b766d 23f5c11bafcd0600 || 0 0 0 || 0 0 0 ||
c30c0cff54021996 f3091dac18b5ec91 || 0 1 1 || 0 1 1 ||
ecfd0cc4c05db0c9 685c81cf0f53ec89 || 0 1 0 || 0 1 0 ||
f9d6b17e1a2de181 1caf62aaa9db9e65 || 0 1 0 || 0 1 0 ||
67317a31e2a00fe3 e3fb2313ce824f59 || 0 0 1 || 0 0 1 ||
3cc95564ec1ddf3d 01d32937706447b1 || 0 0 0 || 0 0 0 ||
ec7d9b005ba1de00 4a4493761d3a6242 || 0 1 0 || 0 1 0 ||
f88d9b6c2bc25184 327fedaa473d66ac || 0 1 0 || 0 1 0 ||
36d775fac34f193f edbe997aa90059c8 || 0 0 1 || 0 0 1 ||
5c1d9b024a3aef6f c86da91bf845eb5e || 0 0 1 || 0 0 1 ||
48162555ca5a6a7c 655a9d4c3bb7b236 || 0 1 1 || 0 1 1 ||
164a1c9ba3657c0c 0bf459fb0273fc87 || 0 0 0 || 0 0 0 ||
6f0feaa48ebd477f 3b04a456fc73c5c8 || 0 0 0 || 0 0 0 ||
05f7f0701d5d5727 a5e2232d9e82fcbb || 0 0 1 || 0 0 1 ||
bb7fb10420c2efd1 074fdf1add8f4a72 || 0 1 0 || 0 1 0 ||
19dfe28f66f24f61 64a53304613b4535 || 0 1 1 || 0 1 1 ||
d9988fb919122a30 bfdb99145e3182ec || 0 0 0 || 0 0 0 ||
875bac21436b2da0 0590aa3f1aed5093 || 0 1 0 || 0 1 0 ||
7bc334e8a259e223 ab77a2da83692cb5 || 0 0 1 || 0 0 1 ||
34aede2abdb339da b861eba71797f605 || 0 0 1 || 0 0 1 ||
0f9ac40e72cd7e14 7dc324d0616f0f59 || 0 1 1 || 0 1 1 ||
9b1fb2616208bece a31cb3081cb169a7 || 0 1 1 || 0 1 1 ||
56aedede3b72551d 8e1b4ea7377b5b04 || 0 0 1 || 0 0 1 ||
59d04765988b5d43 e06b78ac4b1c8a5d || 0 0 1 || 0 0 1 ||
17942f62bfb663da 797db76ffe53aa2e || 0 1 1 || 0 1 1 ||
c94e7d53a6d8add4 c0c7930c8958a736 || 0 0 0 || 0 0 0 ||
4dfe0692eccb26e9 bcf20e585289ae42 || 0 0 1 || 0 0 1 ||
d6eb11c316af8d2d cd1f250051acc842 || 0 0 0 || 0 0 0 ||
60032a5783a524b3 fe2c24b326321284 || 0 0 1 || 0 0 1 ||
9464e64a4a5d222d 76ea7f8bd3091a6e || 0 1 0 || 0 1 0 ||
d5aec688813ed980 5a843169a71faef0 || 0 1 0 || 0 1 0 ||
8718abdcf747e230 49e444c00a970250 || 0 1 0 || 0 1 0 ||
58e4f637c8a093c2 f42df8fb4bf4a5a3 || 0 0 1 || 0 0 1 ||
2d0e88048a01e87e b31d4db6d272ec2a || 0 0 1 || 0 0 1 ||
44692993013c99c8 e866d250e858b209 || 0 0 1 || 0 0 1 ||
70dec9827f94e712 f5cd747074b7622e || 0 0 1 || 0 0 1 ||
ea40342489c61ddd 4b57cfaf8688e4d7 || 0 1 0 || 0 1 0 ||
0f791d51a0f58692 bb39684fb55ccf34 || 0 0 1 || 0 0 1 ||
532023991c40231c 50894d5b6d672126 || 0 0 0 || 0 0 0 ||
6260d3dc0a379739 399a492b555af838 || 0 0 0 || 0 0 0 ||
6a0e4e8415744c1d 2b0577cd32a8d523 || 0 0 0 || 0 0 0 ||
8825275437ce6771 8c77ac644f87c6d4 || 0 1 1 || 0 1 1 ||
e8d9f57a305fde3e 80197520b6a62aea || 0 0 0 || 0 0 0 ||
546b6edce85445e5 120ca0a095e8a7e4 || 0 0 0 || 0 0 0 ||
9b256efb81dc357f 21d30b3412919431 || 0 1 0 || 0 1 0 ||
b50ac576f9740564 308fd71a76734493 || 0 1 0 || 0 1 0 ||
a947ef6431dc245e 59c75cf6f8551fee || 0 1 0 || 0 1 0 ||
31657d00e19ae8d2 37a1215bc8c59404 || 0 1 1 || 0 1 1 ||
8c1390d4903912f7 740f095f73ac7102 || 0 1 0 || 0 1 0 ||
51239625d2899860 fc0f5ce5b50ced22 || 0 0 1 || 0 0 1 ||
85c6fb3c2dadf846 9993ad3b87c2b72f || 0 1 1 || 0 1 1 ||
47b5f6897d5ba81d b59ec059686b0fed || 0 0 1 || 0 0 1 ||
b43e0b2bcc3356ea 526b6028423acb41 || 0 1 0 || 0 1 0 ||
42b277f9646b7a84 862410e5ae31a0ef || 0 0 1 || 0 0 1 ||
eaae67330c47501a 11a69444336d98a8 || 0 1 0 || 0 1 0 ||
d2954fb59325361b e5f24d8e44a016a3 || 0 1 1 || 0 1 1 ||
a1a748ef4f4e61c0 58a5a46708f24b84 || 0 1 0 || 0 1 0 ||
ea3af108d8ad4b96 1beb6611cdb5d25b || 0 1 0 || 0 1 0 ||
1836993fa2e15677 7a8f8c1d6ab5eea9 || 0 1 1 || 0 1 1 ||
09f78741daee0c0f 903a992a0593fe89 || 0 0 1 || 0 0 1 ||
e0d5f468cf4a19c3 88b5fb2519379de5 || 0 0 0 || 0 0 0 ||
52d04d2fde952a18 38fb07fa84833e0b || 0 0 0 || 0 0 0 ||
9c1d6e06a34b6520 2e52bd30dc024ca1 || 0 1 0 || 0 1 0 ||
e30da4cceec73838 568d3a71faefd2fb || 0 1 0 || 0 1 0 ||
1f460163716a38ec 13b5e5c112902f13 || 0 0 0 || 0 0 0 ||
344025cc5b6244b9 1ae79bc4d77c6536 || 0 0 0 || 0 0 0 ||
1f7bc36c0104c5ea 833e29fb04ec674a || 0 0 1 || 0 0 1 ||
a7f0609b46586481 daec2a94805d01e4 || 0 1 1 || 0 1 1 ||
7ed34543f3a3f3e6 fa69cbb0907487fb || 0 0 1 || 0 0 1 ||
51d99fc6b7278ed4 017c2d690ae01d8d || 0 0 0 || 0 0 0 ||
0a23516c87f2c804 4f2fe182fbc6b28b || 0 1 1 || 0 1 1 ||
b13008ed3c774072 6ef3a01a202f163b || 0 1 0 || 0 1 0 ||
713c52952175eae7 f3c8de8948896876 || 0 0 1 || 0 0 1 ||
db074f3791e4fdda 9b6fc33465bc1347 || 0 0 0 || 0 0 0 ||
81d0310cd1968883 09bc006143e0d941 || 0 1 0 || 0 1 0 ||
62b5aa8a669a9813 1a3eaa3da379f3bf || 0 0 0 || 0 0 0 ||
942ae0f9551bea24 4000e6c0c2ce797e || 0 1 0 || 0 1 0 ||
3a651237438bd3a2 0eee9ee908d0cb3e || 0 0 0 || 0 0 0 ||
0db291b409194e19 526c28d3ef55fc8f || 0 1 1 || 0 1 1 ||
b0cc0f1e50210907 c89537f757919ac4 || 0 1 1 || 0 1 1 ||
052ca20d21c4bc1a f2b553c00509090e || 0 0 1 || 0 0 1 ||
5887825c83cb1bed eb91c75612a11518 || 0 0 1 || 0 0 1 ||
d3e5e6d7eb222f67 a5127696a2131f9f || 0 0 0 || 0 0 0 ||
d8feabf5d976ac48 57bdd6bae518be78 || 0 1 0 || 0 1 0 ||
632e6af8048b6f30 15110a63d0731229 || 0 0 0 || 0 0 0 ||
60edabab50cd0845 212dfdbed18a3820 || 0 0 0 || 0 0 0 ||
20b29a3c08253296 a1e3fd12e470768d || 0 0 1 || 0 0 1 ||
0eb2bb792d65cd37 5bed1dfdd1cb3743 || 0 1 1 || 0 1 1 ||
4810835689ee7182 ba595ab89e9c0705 || 0 0 1 || 0 0 1 ||
f619298104cac3ce 5de72418e7d6dfd1 || 0 1 0 || 0 1 0 ||
166070eee56d510a 63bbeed7c963af64 || 0 1 1 || 0 1 1 ||
207ef08f970b9b5c 24f6eba3dc650dfd || 0 1 1 || 0 1 1 ||
cbef9e8af820fbf4 fc4ba0c4109e3d8e || 0 1 1 || 0 1 1 ||
da8fed1e43694e74 97b58f1d5111f171 || 0 0 0 || 0 0 0 ||
6e2518c1af0bbd52 c6ead7f7e061b5fa || 0 0 1 || 0 0 1 ||
ee5487136974f744 ee5a2fb8249a6945 || 0 1 1 || 0 1 1 ||
5a70c8b8047ced59 534c566b470c5b3b || 0 0 0 || 0 0 0 ||
18763df20678631a 16870524fce4764b || 0 0 0 || 0 0 0 ||
14f636fd32e11799 df34edb7d65879a3 || 0 0 1 || 0 0 1 ||
a89765802115ef7d 74ba7c63d976c113 || 0 1 0 || 0 1 0 ||
bf375bee49647532 176f0236b708a704 || 0 1 0 || 0 1 0 ||
536187e11323e9ca ca9291ca1a6affa7 || 0 0 1 || 0 0 1 ||
e237df1c7ae68b35 92536aa319778d1d || 0 0 0 || 0 0 0 ||
5268445c75bbe1d8 8d3041b1b067fd07 || 0 0 1 || 0 0 1 ||
6fdf9b8174cac7f1 59641811406355cd || 0 0 0 || 0 0 0 ||
c47fd81ee66df205 ecb971320a1f6193 || 0 1 1 || 0 1 1 ||
914640f537448deb 64aa6dfd6ea4d02e || 0 1 0 || 0 1 0 ||
3415a004b056de28 ee7582beceee7043 || 0 0 1 || 0 0 1 ||
f35b01ab7ab2fbd9 637d596004428649 || 0 1 0 || 0 1 0 ||
e59565fa5e0975e4 5590e59100a0f6bd || 0 1 0 || 0 1 0 ||
1d04ebb956aa1ca7 1f2aad1afb1eb13b || 0 1 1 || 0 1 1 ||
3aa78d74fc8572bd 860b508b6baccebe || 0 0 1 || 0 0 1 ||
6e88bed350c11f9b 18d5065515d6f2c3 || 0 0 0 || 0 0 0 ||
6d0372bf7d247286 e6b852bf25ac35fd || 0 0 1 || 0 0 1 ||
e7e1111e9e3a7683 d90abaf25c76a2ce || 0 0 0 || 0 0 0 ||
938b51d30c2224f8 363b9aaff00ca454 || 0 1 0 || 0 1 0 ||
4490a57f062d56a3 a88741498af8bf8e || 0 0 1 || 0 0 1 ||
d2ded95df060f0e2 286fde769620e815 || 0 1 0 || 0 1 0 ||
f2ba59c7b31e4184 dc89a03b253ccdac || 0 0 0 || 0 0 0 ||
9aedbc21694fe1e0 05d0818e68bb5589 || 0 1 0 || 0 1 0 ||
512c77dac17bbe7b 6adaa8da0c215a6a || 0 1 1 || 0 1 1 ||
0126c140ac200184 4fd0932e8a1ea5b9 || 0 1 1 || 0 1 1 ||
dbf4be1520126406 898249440122970b || 0 0 0 || 0 0 0 ||
609b3ecf3deebed8 7fce7365ec1acf8a || 0 1 1 || 0 1 1 ||
ddf37eabbbfb82d9 81aeab2c3f6e19d7 || 0 0 0 || 0 0 0 ||
363c95d5eeb33038 fce74cc62136e400 || 0 0 1 || 0 0 1 ||
bddba68ed31842c1 1dbfef17a5b4391d || 0 1 0 || 0 1 0 ||
e861c941fd810508 88007257466cb117 || 0 0 0 || 0 0 0 ||
69bfb39a706618d0 0560de0c7d7091ad || 0 0 0 || 0 0 0 ||
df20994ae114a1e4 c47841244348c60c || 0 0 0 || 0 0 0 ||
e982c90c07769655 24fd8b6f75d30af8 || 0 1 0 || 0 1 0 ||
423b4a32ea22abb4 d069d1909e9a64c3 || 0 0 1 || 0 0 1 ||
357015c6022e38b1 071fa1913773e9a4 || 0 0 0 || 0 0 0 ||
b5f729028b52a3fc e982911a7016c9e9 || 0 1 1 || 0 1 1 ||
37bab6b44242a9c8 81d03471b601f009 || 0 0 1 || 0 0 1 ||
ad51ae6f204ec2aa e0348178e20d7ad5 || 0 1 1 || 0 1 1 ||
7cd11fc05ea6ca2d 8a6bc687e6068e6a || 0 0 1 || 0 0 1 ||
b8d0113f043fe458 e545caf1e896a363 || 0 1 1 || 0 1 1 ||
bf584da4c90c9c99 70fe2a9ddfec152b || 0 1 0 || 0 1 0 ||
e753c6e4119d50d8 3eba6ab881fb4fd8 || 0 1 0 || 0 1 0 ||
a8f2a8d7c79858e8 d93565abff067e7c || 0 1 1 || 0 1 1 ||
a33d9be6169aa212 bdc9035bd012112a || 0 1 1 || 0 1 1 ||
10c66839f8b975fd bbbd0e17ed23022e || 0 0 1 || 0 0 1 ||
56b75bbe43bb320a 2cd712c41e3a058d || 0 0 0 || 0 0 0 ||
2134bd948e8a95fe 47b65f9dd719526b || 0 1 1 || 0 1 1 ||
9b5e94a59dc54eca 8a8d512fc36f5fec || 0 0 0 || 0 0 0 ||
9bed22749394ac85 69f11593f710beac || 0 1 0 || 0 1 0 ||
0104856b343fb057 64efd50c4b31bbfb || 0 1 1 || 0 1 1 ||
60cb0bbb36583144 92c5c86db1dfc2cb || 0 0 1 || 0 0 1 ||
ef43837d3c289c31 009f7722bacefb10 || 0 1 0 || 0 1 0 ||
